token_mint_address,bucket_start,new_token_accounts
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-05 00:00:00.000000 UTC,96
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-05 12:00:00.000000 UTC,2072
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-06 00:00:00.000000 UTC,1049
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-06 12:00:00.000000 UTC,877
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-07 00:00:00.000000 UTC,628
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-07 12:00:00.000000 UTC,1038
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-08 00:00:00.000000 UTC,587
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-08 12:00:00.000000 UTC,531
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-09 00:00:00.000000 UTC,425
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-09 12:00:00.000000 UTC,633
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-10 00:00:00.000000 UTC,458
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-10 12:00:00.000000 UTC,645
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-11 00:00:00.000000 UTC,503
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-11 12:00:00.000000 UTC,1388
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-12 00:00:00.000000 UTC,656
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-12 12:00:00.000000 UTC,612
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-13 00:00:00.000000 UTC,538
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-13 12:00:00.000000 UTC,382
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-14 00:00:00.000000 UTC,313
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-14 12:00:00.000000 UTC,231
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-15 00:00:00.000000 UTC,299
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-15 12:00:00.000000 UTC,385
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-16 00:00:00.000000 UTC,464
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-16 12:00:00.000000 UTC,481
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-17 00:00:00.000000 UTC,359
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-17 12:00:00.000000 UTC,274
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-18 00:00:00.000000 UTC,269
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-18 12:00:00.000000 UTC,266
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-19 00:00:00.000000 UTC,306
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-19 12:00:00.000000 UTC,323
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-20 00:00:00.000000 UTC,295
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-20 12:00:00.000000 UTC,325
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-21 00:00:00.000000 UTC,247
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-21 12:00:00.000000 UTC,209
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-22 00:00:00.000000 UTC,263
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-22 12:00:00.000000 UTC,389
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-23 00:00:00.000000 UTC,253
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-23 12:00:00.000000 UTC,179
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-24 00:00:00.000000 UTC,152
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-24 12:00:00.000000 UTC,150
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-25 00:00:00.000000 UTC,119
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-25 12:00:00.000000 UTC,138
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-26 00:00:00.000000 UTC,148
2qehjdldlbubgryvsxhc5d6udwaivnfzgan56p1tpump,2024-12-26 12:00:00.000000 UTC,107
