token_mint_address,bucket_start,transfer_count,unique_senders,unique_receivers
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-05 12:00:00.000000 UTC,88901,2026,2137
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-06 00:00:00.000000 UTC,51091,1494,1500
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-06 12:00:00.000000 UTC,15827,1201,1339
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-07 00:00:00.000000 UTC,23236,1025,1111
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-07 12:00:00.000000 UTC,23946,1301,1631
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-08 00:00:00.000000 UTC,19957,1005,1147
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-08 12:00:00.000000 UTC,10587,948,1068
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-09 00:00:00.000000 UTC,11484,978,970
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-09 12:00:00.000000 UTC,12560,1215,1317
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-10 00:00:00.000000 UTC,6842,950,995
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-10 12:00:00.000000 UTC,7993,1037,1256
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-11 00:00:00.000000 UTC,11947,912,1057
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-11 12:00:00.000000 UTC,43883,1942,2156
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-12 00:00:00.000000 UTC,13915,1133,1262
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-12 12:00:00.000000 UTC,12274,1128,1186
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-13 00:00:00.000000 UTC,9190,1032,1095
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-13 12:00:00.000000 UTC,5872,741,828
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-14 00:00:00.000000 UTC,3797,668,739
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-14 12:00:00.000000 UTC,4674,647,655
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-15 00:00:00.000000 UTC,3017,565,661
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-15 12:00:00.000000 UTC,5976,710,828
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-16 00:00:00.000000 UTC,6721,847,957
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-16 12:00:00.000000 UTC,9937,1065,1088
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-17 00:00:00.000000 UTC,12307,895,984
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-17 12:00:00.000000 UTC,6123,849,775
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-18 00:00:00.000000 UTC,4932,688,716
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-18 12:00:00.000000 UTC,5933,752,769
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,2024-12-19 00:00:00.000000 UTC,4302,697,797
