token,tau,pinball
$WIF,0.05,0.009870110559992188
$WIF,0.25,0.017755106574288256
$WIF,0.5,0.019424860500234575
$WIF,0.75,0.02409125135557515
$WIF,0.95,0.01268420814454106
$WIF,0.05,0.009552680534497348
$WIF,0.25,0.02400577663468687
$WIF,0.5,0.019659291273883803
$WIF,0.75,0.02747753655858839
$WIF,0.95,0.016683440415778832
$WIF,0.05,0.012959815705842351
$WIF,0.25,0.019955187229151596
$WIF,0.5,0.029446303296653892
$WIF,0.75,0.03284308561843104
$WIF,0.95,0.013409952883313864
$WIF,0.05,0.011095459722048355
$WIF,0.25,0.022035215124537388
$WIF,0.5,0.024765216870093292
$WIF,0.75,0.03474188661510975
$WIF,0.95,0.010069076477853487
$WIF,0.05,0.01670560455583276
$WIF,0.25,0.049361077779384394
$WIF,0.5,0.05553461429522522
$WIF,0.75,0.042525949268159065
$WIF,0.95,0.019211811521907513
$WIF,0.05,0.007298326586004056
$WIF,0.25,0.06675495222105744
$WIF,0.5,0.10277293002871103
$WIF,0.75,0.07441953600672059
$WIF,0.95,0.020667406544035292
$WIF,0.05,0.015567801967126904
$WIF,0.25,0.04519650861392033
$WIF,0.5,0.035420529067508304
$WIF,0.75,0.04829876436941755
$WIF,0.95,0.022755848428512276
$WIF,0.05,0.02274806370950559
$WIF,0.25,0.05005884887013496
$WIF,0.5,0.04341756198722544
$WIF,0.75,0.02873907275673512
$WIF,0.95,0.015377528628887993
$WIF,0.05,0.019824692197370167
$WIF,0.25,0.04473869592731561
$WIF,0.5,0.029679972180654112
$WIF,0.75,0.03851289753656851
$WIF,0.95,0.019428053228938615
$WIF,0.05,0.012820442235694554
$WIF,0.25,0.01807209529638362
$WIF,0.5,0.014605049348753148
$WIF,0.75,0.05474218237883572
$WIF,0.95,0.022124713700754542
$WIF,0.05,0.01821524251741428
$WIF,0.25,0.04757669144208867
$WIF,0.5,0.014205783442336898
$WIF,0.75,0.02247870283985939
$WIF,0.95,0.02060635283091237
$WIF,0.05,0.02277851686075492
$WIF,0.25,0.07280474971813856
$WIF,0.5,0.05226174805976793
$WIF,0.75,0.04927681127496824
$WIF,0.95,0.013082759291849039
$WIF,0.05,0.01838868624769014
$WIF,0.25,0.04116800452186468
$WIF,0.5,0.030814778259864617
$WIF,0.75,0.03001586541209437
$WIF,0.95,0.017468543371390283
$WIF,0.05,0.010244828522090103
$WIF,0.25,0.016417888947067156
$WIF,0.5,0.028735225066161052
$WIF,0.75,0.025201655608832318
$WIF,0.95,0.019163754521139848
$WIF,0.05,0.011756977276594744
$WIF,0.25,0.0240179289076965
$WIF,0.5,0.02507374310639676
$WIF,0.75,0.028565347793918117
$WIF,0.95,0.014046273822559201
$WIF,0.05,0.016999671633583218
$WIF,0.25,0.01974404889956223
$WIF,0.5,0.021734708412821987
$WIF,0.75,0.018601798511528118
$WIF,0.95,0.011500968450358166
$WIF,0.05,0.01384958574748911
$WIF,0.25,0.02630841770225616
$WIF,0.5,0.02193179047281207
$WIF,0.75,0.028527728938128466
$WIF,0.95,0.012133763611725842
$WIF,0.05,0.026565623803592283
$WIF,0.25,0.0931478836660901
$WIF,0.5,0.141123783173307
$WIF,0.75,0.10675724145617838
$WIF,0.95,0.023041190200111028
$WIF,0.05,0.03320461048458804
$WIF,0.25,0.058356183595742295
$WIF,0.5,0.045513959794505406
$WIF,0.75,0.022286523780568543
$WIF,0.95,0.014756899048793204
$WIF,0.05,0.027609787219672388
$WIF,0.25,0.04888968065370549
$WIF,0.5,0.015484610747377165
$WIF,0.75,0.013589021883289025
$WIF,0.95,0.014340365248824656
$WIF,0.05,0.026458728268880658
$WIF,0.25,0.041830856990649694
$WIF,0.5,0.02312983900104067
$WIF,0.75,0.016605022804796157
$WIF,0.95,0.01318285178301732
$WIF,0.05,0.030767258416544027
$WIF,0.25,0.05218834137265672
$WIF,0.5,0.029126039426129652
$WIF,0.75,0.02269377747414003
$WIF,0.95,0.01586575077043027
$WIF,0.05,0.00647143753028059
$WIF,0.25,0.020104990135638854
$WIF,0.5,0.03184882954880666
$WIF,0.75,0.05957168468494395
$WIF,0.95,0.027468965057445307
$WIF,0.05,0.011749611181916595
$WIF,0.25,0.012365636276580688
$WIF,0.5,0.021338356802222718
$WIF,0.75,0.04880097549765116
$WIF,0.95,0.023427386874908435
$WIF,0.05,0.01646880194720283
$WIF,0.25,0.03568273981350639
$WIF,0.5,0.035195710154429065
$WIF,0.75,0.04723494893890547
$WIF,0.95,0.01794540962206769
$michi,0.05,0.013708678244607678
$michi,0.25,0.030045304388680746
$michi,0.5,0.025464931793655193
$michi,0.75,0.03980016539217248
$michi,0.95,0.02621687499354083
$michi,0.05,0.013849101860054789
$michi,0.25,0.018889689338838455
$michi,0.5,0.03835496469230787
$michi,0.75,0.06170214840116442
$michi,0.95,0.04204702914656246
$michi,0.05,0.011241980467892041
$michi,0.25,0.010006660428584889
$michi,0.5,0.0165162103296081
$michi,0.75,0.06732782857528376
$michi,0.95,0.03029549818826831
$michi,0.05,0.010128850889032433
$michi,0.25,0.024103546120736286
$michi,0.5,0.018137350384817886
$michi,0.75,0.04586621169234737
$michi,0.95,0.028493681530968862
$michi,0.05,0.013134435809935419
$michi,0.25,0.023641471268196722
$michi,0.5,0.02209596929582684
$michi,0.75,0.023672192564931274
$michi,0.95,0.025430945998822858
$michi,0.05,0.01312959820804835
$michi,0.25,0.030863154429272077
$michi,0.5,0.03003770252147322
$michi,0.75,0.02319723843005936
$michi,0.95,0.023624170253587835
$michi,0.05,0.013194506488869785
$michi,0.25,0.025165353875641006
$michi,0.5,0.02587589654082322
$michi,0.75,0.028613231723176192
$michi,0.95,0.011188108123557581
$michi,0.05,0.022435605791427584
$michi,0.25,0.06440983793991996
$michi,0.5,0.09014763283028109
$michi,0.75,0.08182585836234989
$michi,0.95,0.018162970559560055
$michi,0.05,0.03590855993709734
$michi,0.25,0.0501433748431733
$michi,0.5,0.04917591616391309
$michi,0.75,0.030164303152129913
$michi,0.95,0.02947183376755431
$michi,0.05,0.02112933902590693
$michi,0.25,0.03650444408966686
$michi,0.5,0.02205486683353493
$michi,0.75,0.024254478073614232
$michi,0.95,0.026802775514546243
$michi,0.05,0.023670346308624912
$michi,0.25,0.046355277417017594
$michi,0.5,0.0143190766511435
$michi,0.75,0.021257255600171294
$michi,0.95,0.020971654495826914
$michi,0.05,0.030702101758638554
$michi,0.25,0.08120124703795083
$michi,0.5,0.06546765107935026
$michi,0.75,0.046727649994981184
$michi,0.95,0.03872266048336293
$michi,0.05,0.030107000328556066
$michi,0.25,0.07096192395241666
$michi,0.5,0.06355185991629535
$michi,0.75,0.05762729624020335
$michi,0.95,0.032110650250302686
$michi,0.05,0.025805057289617888
$michi,0.25,0.03936583581361913
$michi,0.5,0.025770476072887166
$michi,0.75,0.0387611354730982
$michi,0.95,0.0304577339173969
$michi,0.05,0.026829766747159377
$michi,0.25,0.047034050408955995
$michi,0.5,0.015303915962860404
$michi,0.75,0.04322974978762025
$michi,0.95,0.023416729583530273
$michi,0.05,0.020583470895457794
$michi,0.25,0.03965051230410687
$michi,0.5,0.02174105497771837
$michi,0.75,0.03992106168692044
$michi,0.95,0.025674443611377353
$michi,0.05,0.034469377888402514
$michi,0.25,0.07078334060415606
$michi,0.5,0.08617702081417815
$michi,0.75,0.06872982675406773
$michi,0.95,0.011876882776267772
$michi,0.05,0.03411515000628345
$michi,0.25,0.04037802663253102
$michi,0.5,0.04162623402042973
$michi,0.75,0.04265926988497629
$michi,0.95,0.01575512886314251
$michi,0.05,0.0278886872595332
$michi,0.25,0.03592980443353596
$michi,0.5,0.0414679982127474
$michi,0.75,0.036785396224577306
$michi,0.95,0.011456001739166317
$michi,0.05,0.026589356929758362
$michi,0.25,0.034140546291086364
$michi,0.5,0.03291130050223108
$michi,0.75,0.039512283280978326
$michi,0.95,0.019916537567435267
$michi,0.05,0.027787757272446534
$michi,0.25,0.04472753617942677
$michi,0.5,0.02347537238576977
$michi,0.75,0.03908022103148821
$michi,0.95,0.019229385971604455
$michi,0.05,0.025584636980204554
$michi,0.25,0.035611126985242915
$michi,0.5,0.01883713516052334
$michi,0.75,0.02135366296574433
$michi,0.95,0.017424412976966248
$michi,0.05,0.016074069631258018
$michi,0.25,0.027469438082388494
$michi,0.5,0.0322652150426369
$michi,0.75,0.02345827364610463
$michi,0.95,0.018374675647528208
$michi,0.05,0.014092846182215207
$michi,0.25,0.018724780141626846
$michi,0.5,0.03647866663583837
$michi,0.75,0.026136200625181752
$michi,0.95,0.02495240399915331
$michi,0.05,0.01014008850855415
$michi,0.25,0.022368676136089272
$michi,0.5,0.020935687653570633
$michi,0.75,0.014851387562084985
$michi,0.95,0.01801732163191955
ALCH,0.05,0.01782075297808935
ALCH,0.25,0.04448461166005413
ALCH,0.5,0.033973183164332385
ALCH,0.75,0.029859362615518432
ALCH,0.95,0.015163400960715799
ALCH,0.05,0.014681031253993226
ALCH,0.25,0.03728093115010214
ALCH,0.5,0.06652530690677187
ALCH,0.75,0.05142896500142032
ALCH,0.95,0.01792915087269484
ALCH,0.05,0.03916177995177789
ALCH,0.25,0.12231184327772295
ALCH,0.5,0.1846670757652523
ALCH,0.75,0.16140995049258292
ALCH,0.95,0.0886145967997009
ALCH,0.05,0.07909157694477861
ALCH,0.25,0.19155067065527612
ALCH,0.5,0.26669847775958827
ALCH,0.75,0.2798055110643689
ALCH,0.95,0.0874969654142403
ALCH,0.05,0.07932427220381191
ALCH,0.25,0.07706901498128459
ALCH,0.5,0.1095809242323435
ALCH,0.75,0.17134043030740628
ALCH,0.95,0.11519197781882778
ALCH,0.05,0.08972682545920833
ALCH,0.25,0.07784280006376092
ALCH,0.5,0.1412743273659194
ALCH,0.75,0.23432042065209527
ALCH,0.95,0.10275387548661684
ALCH,0.05,0.08197338797862114
ALCH,0.25,0.11027686337885363
ALCH,0.5,0.075470892693396
ALCH,0.75,0.12302863771180861
ALCH,0.95,0.10939048318966484
ALCH,0.05,0.06753939215435319
ALCH,0.25,0.10857873676502433
ALCH,0.5,0.07630709507268522
ALCH,0.75,0.2630580995321292
ALCH,0.95,0.13076669544840105
ALCH,0.05,0.04400573038605632
ALCH,0.25,0.09670047113828258
ALCH,0.5,0.05873492045465208
ALCH,0.75,0.3679256537024209
ALCH,0.95,0.18737142419442834
ALCH,0.05,0.027865632934898212
ALCH,0.25,0.06422742030284505
ALCH,0.5,0.03992820937254966
ALCH,0.75,0.08375635494885893
ALCH,0.95,0.13783531635896737
ALCH,0.05,0.03173534559561527
ALCH,0.25,0.06564784994259186
ALCH,0.5,0.02657081480744582
ALCH,0.75,0.07258178613118411
ALCH,0.95,0.09009616789446782
ALCH,0.05,0.032242193540112644
ALCH,0.25,0.08782509333236233
ALCH,0.5,0.07745688335508974
ALCH,0.75,0.07606198392888223
ALCH,0.95,0.16326403100556675
ALCH,0.05,0.014490238026226697
ALCH,0.25,0.04498529976623355
ALCH,0.5,0.04803161707215071
ALCH,0.75,0.08876137228584087
ALCH,0.95,0.09537672211056251
ALCH,0.05,0.016439261230166494
ALCH,0.25,0.026211024267232153
ALCH,0.5,0.037987616770644876
ALCH,0.75,0.02702371214311978
ALCH,0.95,0.07949698764207054
ALCH,0.05,0.016315978741651464
ALCH,0.25,0.024367690036819534
ALCH,0.5,0.02512191813196089
ALCH,0.75,0.020923304658400265
ALCH,0.95,0.08353357127576723
ALCH,0.05,0.014130880902429706
ALCH,0.25,0.022253041400823865
ALCH,0.5,0.03317173495923686
ALCH,0.75,0.060601733403469936
ALCH,0.95,0.0783467411176584
ALCH,0.05,0.013724212186906943
ALCH,0.25,0.044133221664359144
ALCH,0.5,0.02574657227918227
ALCH,0.75,0.061359275770805737
ALCH,0.95,0.022778131259772627
ALCH,0.05,0.010705854207295445
ALCH,0.25,0.021615057957078004
ALCH,0.5,0.03273125467514706
ALCH,0.75,0.03626293669341016
ALCH,0.95,0.021163151464206265
ALCH,0.05,0.008815684685521396
ALCH,0.25,0.02401076384794405
ALCH,0.5,0.02946069679523687
ALCH,0.75,0.030765961170045042
ALCH,0.95,0.012308347062383434
ALCH,0.05,0.00874443127547255
ALCH,0.25,0.03190742136786721
ALCH,0.5,0.025925277676341982
ALCH,0.75,0.037878780523481696
ALCH,0.95,0.01866721229437632
ALCH,0.05,0.00869353461930178
ALCH,0.25,0.025864564644954586
ALCH,0.5,0.023407451377476896
ALCH,0.75,0.044883469269973934
ALCH,0.95,0.016851795063846115
ALCH,0.05,0.008914118810474136
ALCH,0.25,0.029336417168578457
ALCH,0.5,0.016766952150639874
