token,tau,pinball
$WIF,0.05,0.010880928809900131
$WIF,0.25,0.03697471340586126
$WIF,0.5,0.016556302241444474
$WIF,0.75,0.029269762594185875
$WIF,0.95,0.009428330294151957
$WIF,0.05,0.009687472830750849
$WIF,0.25,0.03315362804162134
$WIF,0.5,0.018360237241513155
$WIF,0.75,0.033447906267047724
$WIF,0.95,0.012160534194748364
$WIF,0.05,0.011351564370629048
$WIF,0.25,0.02385025015463059
$WIF,0.5,0.02949582208508464
$WIF,0.75,0.03661190008265104
$WIF,0.95,0.012154115517737235
$WIF,0.05,0.016908347901566204
$WIF,0.25,0.032508423009167266
$WIF,0.5,0.026480180519173776
$WIF,0.75,0.03476094158378435
$WIF,0.95,0.00872795992778279
$WIF,0.05,0.014884174322160437
$WIF,0.25,0.055857983356579634
$WIF,0.5,0.05664716929546788
$WIF,0.75,0.040000038281007504
$WIF,0.95,0.01228642610289469
$WIF,0.05,0.007533017293398455
$WIF,0.25,0.0498686871301531
$WIF,0.5,0.10446083538593955
$WIF,0.75,0.08861372777673944
$WIF,0.95,0.03253580870211464
$WIF,0.05,0.01167459209448494
$WIF,0.25,0.04814529562706283
$WIF,0.5,0.0352942903880158
$WIF,0.75,0.057797259597966
$WIF,0.95,0.017015052992863714
$WIF,0.05,0.02055702001447717
$WIF,0.25,0.05982966399832418
$WIF,0.5,0.04153034488041701
$WIF,0.75,0.05279115275853855
$WIF,0.95,0.02168798450877668
$WIF,0.05,0.0171210497463635
$WIF,0.25,0.04952367447814588
$WIF,0.5,0.03629645444025851
$WIF,0.75,0.06675481021205003
$WIF,0.95,0.028557151794391677
$WIF,0.05,0.011317892071818622
$WIF,0.25,0.024093165667856454
$WIF,0.5,0.016415623804302986
$WIF,0.75,0.07035111955388641
$WIF,0.95,0.01765194789789014
$WIF,0.05,0.016213324527353627
$WIF,0.25,0.053873271522772194
$WIF,0.5,0.01308462342684915
$WIF,0.75,0.026701477553374525
$WIF,0.95,0.016060127867821652
$WIF,0.05,0.017575135379806355
$WIF,0.25,0.07406167466857304
$WIF,0.5,0.05052904051889604
$WIF,0.75,0.03252885336893848
$WIF,0.95,0.008851024894505696
$WIF,0.05,0.013689962748852508
$WIF,0.25,0.05033475994987385
$WIF,0.5,0.03705895603536193
$WIF,0.75,0.03213613046480864
$WIF,0.95,0.01448780153809165
$WIF,0.05,0.007714388441273164
$WIF,0.25,0.023988582453003515
$WIF,0.5,0.028838990340293556
$WIF,0.75,0.041384856331721745
$WIF,0.95,0.015715440069750026
$WIF,0.05,0.01481742008928804
$WIF,0.25,0.033938341483592344
$WIF,0.5,0.025785965931102096
$WIF,0.75,0.03110742608194844
$WIF,0.95,0.01801623104902842
$WIF,0.05,0.015947204133377756
$WIF,0.25,0.03336693892302055
$WIF,0.5,0.02045516886481112
$WIF,0.75,0.02172091986290915
$WIF,0.95,0.015300054861731386
$WIF,0.05,0.016915907942771518
$WIF,0.25,0.054296696063820336
$WIF,0.5,0.03677269621754941
$WIF,0.75,0.03037133231622029
$WIF,0.95,0.011399996970639883
$WIF,0.05,0.028608650212771782
$WIF,0.25,0.1458333625652778
$WIF,0.5,0.1808840637464513
$WIF,0.75,0.10143199573369639
$WIF,0.95,0.03104041425756114
$WIF,0.05,0.0188355363630625
$WIF,0.25,0.0757880527033785
$WIF,0.5,0.04365745822512934
$WIF,0.75,0.025885545198378213
$WIF,0.95,0.01229264295518237
$WIF,0.05,0.017486346561864215
$WIF,0.25,0.0538120290582939
$WIF,0.5,0.014826492060828998
$WIF,0.75,0.019446705098720738
$WIF,0.95,0.013230559872902068
$WIF,0.05,0.019390443525533804
$WIF,0.25,0.0465600565604412
$WIF,0.5,0.02149544813935513
$WIF,0.75,0.018076742490691404
$WIF,0.95,0.015246366102210729
$WIF,0.05,0.022993313297761466
$WIF,0.25,0.06304414817183815
$WIF,0.5,0.029745112177540754
$WIF,0.75,0.022377905673307403
