token,tau,pinball
$WIF,0.05,0.011115361167768562
$WIF,0.1,0.007846384451475149
$WIF,0.25,0.018273919597348764
$WIF,0.5,0.021878283145438753
$WIF,0.75,0.012931348052859898
$WIF,0.9,0.007614469794636545
$WIF,0.95,0.01083996899523688
$WIF,0.05,0.015805580486878718
$WIF,0.1,0.009704930208647577
$WIF,0.25,0.010755330265407948
$WIF,0.5,0.016933363462680515
$WIF,0.75,0.01746233951568837
$WIF,0.9,0.009918624193038895
$WIF,0.95,0.012664666610310543
$WIF,0.05,0.0128146471003037
$WIF,0.1,0.010325983292281233
$WIF,0.25,0.025828181916003584
$WIF,0.5,0.02640030766649226
$WIF,0.75,0.01742096853914059
$WIF,0.9,0.007974491819597487
$WIF,0.95,0.013423866153950791
$WIF,0.05,0.017336672369685186
$WIF,0.1,0.015495555773155584
$WIF,0.25,0.022034590406638074
$WIF,0.5,0.028003919454814372
$WIF,0.75,0.024490738305588722
$WIF,0.9,0.012432198447664342
$WIF,0.95,0.008918169647405978
$WIF,0.05,0.020392392670320877
$WIF,0.1,0.02002103391443758
$WIF,0.25,0.03660140628805449
$WIF,0.5,0.06423536024408269
$WIF,0.75,0.07776520816663333
$WIF,0.9,0.05012054445230193
$WIF,0.95,0.014547588648805268
$WIF,0.05,0.007606479107873271
$WIF,0.1,0.1093670894787363
$WIF,0.25,0.14054838043569237
$WIF,0.5,0.10467872900233095
$WIF,0.75,0.06491354123649436
$WIF,0.9,0.04105442857699239
$WIF,0.95,0.03498578398099462
$WIF,0.05,0.019799171868838297
$WIF,0.1,0.03347364914321444
$WIF,0.25,0.04195032388240344
$WIF,0.5,0.03893238238798483
$WIF,0.75,0.0268413859229867
$WIF,0.9,0.011624115267333394
$WIF,0.95,0.02219347711927767
$WIF,0.05,0.022551679062208244
$WIF,0.1,0.021615369421229786
$WIF,0.25,0.0277022255406871
$WIF,0.5,0.041838418742165505
$WIF,0.75,0.0449236244589225
$WIF,0.9,0.011107326780680113
$WIF,0.95,0.027258981635906218
$WIF,0.05,0.02627425172787405
$WIF,0.1,0.017644929090465198
$WIF,0.25,0.02492726391581014
$WIF,0.5,0.032076334058897434
$WIF,0.75,0.03681706891808459
$WIF,0.9,0.023814114409036
$WIF,0.95,0.03069947274031631
$WIF,0.05,0.011534608851434787
$WIF,0.1,0.003208332398244818
$WIF,0.25,0.016651812853522904
$WIF,0.5,0.01627837335413097
$WIF,0.75,0.011593508487062162
$WIF,0.9,0.00976663924223565
$WIF,0.95,0.02127106702449287
$WIF,0.05,0.026117750938300727
$WIF,0.1,0.018585100561950094
$WIF,0.25,0.014745562031036226
$WIF,0.5,0.010143019745278313
$WIF,0.75,0.0150307477279608
$WIF,0.9,0.01612522958416718
$WIF,0.95,0.02298980122909031
$WIF,0.05,0.02353290859567493
$WIF,0.1,0.0263962002131323
$WIF,0.25,0.03629222638044091
$WIF,0.5,0.055437138961616984
$WIF,0.75,0.06382719170590917
$WIF,0.9,0.025805652974237456
$WIF,0.95,0.015778375591147337
$WIF,0.05,0.021559342349115055
$WIF,0.1,0.02202357405529552
$WIF,0.25,0.02727099975825761
$WIF,0.5,0.03601670926319444
$WIF,0.75,0.035025665987138285
$WIF,0.9,0.023028704268551015
$WIF,0.95,0.009647492876401504
$WIF,0.05,0.008399051683295099
$WIF,0.1,0.022997491679634833
$WIF,0.25,0.03451805335046147
$WIF,0.5,0.03247780915588907
$WIF,0.75,0.02176664362457695
$WIF,0.9,0.0174645117125437
$WIF,0.95,0.0223374412105348
$WIF,0.05,0.017967886055516167
$WIF,0.1,0.03288394272768937
$WIF,0.25,0.024189870835238356
$WIF,0.5,0.02521434441066502
$WIF,0.75,0.01764283914207786
$WIF,0.9,0.011673433426325432
$WIF,0.95,0.019473684561143668
$WIF,0.05,0.016423541110541565
$WIF,0.1,0.008594514951006766
$WIF,0.25,0.010375851627499086
$WIF,0.5,0.014887544580452881
$WIF,0.75,0.008890922200739934
$WIF,0.9,0.01679444236381792
$WIF,0.95,0.02341592930421159
$WIF,0.05,0.015970834463604356
$WIF,0.1,0.0126135572674198
$WIF,0.25,0.02232255643950454
$WIF,0.5,0.038504221726312446
$WIF,0.75,0.036806695300265986
$WIF,0.9,0.014610887655589813
$WIF,0.95,0.017779979354406835
$WIF,0.05,0.035418612219927974
$WIF,0.1,0.04231012206579887
$WIF,0.25,0.08291416556422866
$WIF,0.5,0.150587571394945
$WIF,0.75,0.19491955253124862
$WIF,0.9,0.12344862045710768
$WIF,0.95,0.022959036541185487
$WIF,0.05,0.03764803989349912
$WIF,0.1,0.02428445222890466
$WIF,0.25,0.041565621442109395
$WIF,0.5,0.04846185677497855
$WIF,0.75,0.04349667126236792
$WIF,0.9,0.011158189904320368
$WIF,0.95,0.012197750736892924
$WIF,0.05,0.030948422169776463
$WIF,0.1,0.008171017258687255
$WIF,0.25,0.009389985124566272
$WIF,0.5,0.013774125801209723
$WIF,0.75,0.008178634189925439
$WIF,0.9,0.011004153426188523
$WIF,0.95,0.018179376482422422
$WIF,0.05,0.02872093353248244
$WIF,0.1,0.005308389554630721
$WIF,0.25,0.02255375727720747
$WIF,0.5,0.02398383252801986
$WIF,0.75,0.01884922393887323
$WIF,0.9,0.008827338272746142
$WIF,0.95,0.015781753173054008
$WIF,0.05,0.030253397939014045
$WIF,0.1,0.017524810638119784
$WIF,0.25,0.01981399909678337
$WIF,0.5,0.028191269956220125
$WIF,0.75,0.029725072522071867
$WIF,0.9,0.010951052045087131
$WIF,0.95,0.014545597665677779
$WIF,0.05,0.023731632219477505
$WIF,0.1,0.007855248311988304
$WIF,0.25,0.02032929252734861
$WIF,0.5,0.020060132800052144
$WIF,0.75,0.01585927989482056
$WIF,0.9,0.014749361301555982
$WIF,0.95,0.03244818340335071
