token,tau,pinball
$WIF,0.05,0.011718002637056607
$WIF,0.1,0.006533825628060351
$WIF,0.25,0.017351280208681708
$WIF,0.5,0.016556302241444474
$WIF,0.75,0.014398707227329166
$WIF,0.9,0.00673913574450058
$WIF,0.95,0.009951301662396364
$WIF,0.05,0.01353545300316221
$WIF,0.1,0.012108920627402875
$WIF,0.25,0.009953586323855153
$WIF,0.5,0.018360237241513155
$WIF,0.75,0.018783913273918706
$WIF,0.9,0.011188027923226517
$WIF,0.95,0.012672200674198185
$WIF,0.05,0.013626999040217731
$WIF,0.1,0.016207145871695337
$WIF,0.25,0.03957763323503324
$WIF,0.5,0.03317980729396441
$WIF,0.75,0.021448487867529606
$WIF,0.9,0.011938688187043066
$WIF,0.95,0.013786670278923309
$WIF,0.05,0.017396734481164796
$WIF,0.1,0.015278474419344058
$WIF,0.25,0.019322261771552607
$WIF,0.5,0.026480180519173776
$WIF,0.75,0.01836586658090784
$WIF,0.9,0.013317865833228472
$WIF,0.95,0.009707750029791816
$WIF,0.05,0.01594934550570352
$WIF,0.1,0.019176079581089512
$WIF,0.25,0.037943693301061905
$WIF,0.5,0.05648518374273564
$WIF,0.75,0.05413350797938472
$WIF,0.9,0.04820610609625814
$WIF,0.95,0.01528146747801882
$WIF,0.05,0.005614650939841177
$WIF,0.1,0.10097354456516557
$WIF,0.25,0.1337591648405521
$WIF,0.5,0.10446083538593955
$WIF,0.75,0.07169003314228972
$WIF,0.9,0.04029625631241051
$WIF,0.95,0.0356790890273885
$WIF,0.05,0.013129436482963273
$WIF,0.1,0.029369857940042692
$WIF,0.25,0.04124955559218837
$WIF,0.5,0.0352942903880158
$WIF,0.75,0.025698667730080924
$WIF,0.9,0.024457101378893103
$WIF,0.95,0.022173540461606547
$WIF,0.05,0.023152624135671738
$WIF,0.1,0.03229279031393469
$WIF,0.25,0.03236528693949788
$WIF,0.5,0.04153034488041701
$WIF,0.75,0.03519684502964728
$WIF,0.9,0.012765412224020783
$WIF,0.95,0.02508729270884952
$WIF,0.05,0.017548394140814078
$WIF,0.1,0.024056284958214963
$WIF,0.25,0.02743951510789763
$WIF,0.5,0.03629645444025851
$WIF,0.75,0.031570602621892596
$WIF,0.9,0.01751517782279276
