token,fold,tau,coverage,width,pinball
$WIF,1,80PI,0.3,0.05882050123224687,
$WIF,1,0.1,,,0.02026627882705133
$WIF,1,0.5,,,0.02730122187018981
$WIF,1,0.9,,,0.009846259005000406
$WIF,2,80PI,0.5666666666666667,0.33191061364270097,
$WIF,2,0.1,,,0.0279953399833604
$WIF,2,0.5,,,0.1173219333510576
$WIF,2,0.9,,,0.03799900688164216
$WIF,3,80PI,0.43333333333333335,0.07943540542581995,
$WIF,3,0.1,,,0.011133828613094095
$WIF,3,0.5,,,0.026692402890337665
$WIF,3,0.9,,,0.028542425822421096
$WIF,4,80PI,0.7,0.1405474055490473,
$WIF,4,0.1,,,0.00878925477580258
$WIF,4,0.5,,,0.02282506430901198
$WIF,4,0.9,,,0.013729911424567556
$WIF,5,80PI,0.3,0.042585043088380056,
$WIF,5,0.1,,,0.01157120828980728
$WIF,5,0.5,,,0.025802016465994122
$WIF,5,0.9,,,0.030219492342892094
$michi,1,80PI,0.1,0.04275885002892532,
$michi,1,0.1,,,0.019001753984096304
$michi,1,0.5,,,0.03353193961042936
$michi,1,0.9,,,0.035650808243333665
$michi,2,80PI,0.6666666666666666,0.14627879100852467,
$michi,2,0.1,,,0.011422989674922177
$michi,2,0.5,,,0.019056238628535317
$michi,2,0.9,,,0.013307067091499713
$michi,3,80PI,0.5666666666666667,0.20177977851088016,
$michi,3,0.1,,,0.021748149477261447
$michi,3,0.5,,,0.034319934968581475
$michi,3,0.9,,,0.01927214697476793
$michi,4,80PI,0.4,0.09439697712355241,
$michi,4,0.1,,,0.030188781403213315
$michi,4,0.5,,,0.045617779206814285
$michi,4,0.9,,,0.03417262069420963
$michi,5,80PI,0.7,0.1879220193754744,
$michi,5,0.1,,,0.015223197508500137
$michi,5,0.5,,,0.04181015662642318
$michi,5,0.9,,,0.018040388912482216
ALCH,1,80PI,0.4666666666666667,0.15732045540669334,
ALCH,1,0.1,,,0.01365461775163059
ALCH,1,0.5,,,0.05349609158458968
ALCH,1,0.9,,,0.056185844482618076
ALCH,2,80PI,0.13333333333333333,0.2601172281204693,
ALCH,2,0.1,,,0.07385800231017609
ALCH,2,0.5,,,0.21061736597682756
ALCH,2,0.9,,,0.3274031750376449
ALCH,3,80PI,0.36666666666666664,0.12811871522524212,
ALCH,3,0.1,,,0.05000064079110514
ALCH,3,0.5,,,0.07836609773497097
ALCH,3,0.9,,,0.04457235832856627
ALCH,4,80PI,0.5666666666666667,0.19650040348774406,
ALCH,4,0.1,,,0.02544233131997031
ALCH,4,0.5,,,0.05457261035768187
ALCH,4,0.9,,,0.021168437130390214
ALCH,5,80PI,0.4666666666666667,0.0949830730483919,
ALCH,5,0.1,,,0.01130674143495494
ALCH,5,0.5,,,0.032909962062736914
ALCH,5,0.9,,,0.03235927002257153
AVA,1,80PI,0.6,0.3703079774222095,
AVA,1,0.1,,,0.040513852919788214
AVA,1,0.5,,,0.07450341062838578
AVA,1,0.9,,,0.03978747183738959
AVA,2,80PI,0.3333333333333333,0.17416590239286797,
AVA,2,0.1,,,0.04044947211384002
AVA,2,0.5,,,0.04655403787068106
AVA,2,0.9,,,0.026456285571550466
AVA,3,80PI,0.23333333333333334,0.03982655355174076,
AVA,3,0.1,,,0.03134827712963199
AVA,3,0.5,,,0.038193820210236394
AVA,3,0.9,,,0.03536158174045345
AVA,4,80PI,0.7666666666666667,0.26837013872014176,
AVA,4,0.1,,,0.018566406652962865
AVA,4,0.5,,,0.06493117081223462
AVA,4,0.9,,,0.018153076139790298
AVA,5,80PI,0.6333333333333333,0.2307143624311822,
