token,fold,tau,coverage,width,pinball
$WIF,1,80PI,0.43333333333333335,0.057750851392921104,
$WIF,1,0.05,,,0.013481858541178261
$WIF,1,0.1,,,0.016325607495472686
$WIF,1,0.25,,,0.019979429145862794
$WIF,1,0.5,,,0.022263099416864777
$WIF,1,0.75,,,0.01851420455612628
$WIF,1,0.9,,,0.012063247059385098
$WIF,1,0.95,,,0.006659878799706758
$WIF,2,80PI,0.36666666666666664,0.14744842165258276,
$WIF,2,0.05,,,0.015955778800273265
$WIF,2,0.1,,,0.043854099682976946
$WIF,2,0.25,,,0.05927575382505905
$WIF,2,0.5,,,0.07145869521880906
$WIF,2,0.75,,,0.06071544404258919
$WIF,2,0.9,,,0.04967167839817579
$WIF,2,0.95,,,0.040571030787758124
$WIF,3,80PI,0.36666666666666664,0.07497814214384424,
$WIF,3,0.05,,,0.006454669689465478
$WIF,3,0.1,,,0.011394192302926239
$WIF,3,0.25,,,0.021909862213838876
$WIF,3,0.5,,,0.03818331576807288
$WIF,3,0.75,,,0.03749173598497261
$WIF,3,0.9,,,0.030916054409758146
$WIF,3,0.95,,,0.01211804432697993
$WIF,4,80PI,0.4666666666666667,0.0894671901455722,
$WIF,4,0.05,,,0.010593769103880935
$WIF,4,0.1,,,0.015058484613860392
$WIF,4,0.25,,,0.016890833258277286
$WIF,4,0.5,,,0.017855400153729977
$WIF,4,0.75,,,0.01949450259127445
$WIF,4,0.9,,,0.01349627441811859
$WIF,4,0.95,,,0.008378387578681753
$WIF,5,80PI,0.6,0.13858508587464746,
$WIF,5,0.05,,,0.0062864679188531615
$WIF,5,0.1,,,0.012499492908161554
$WIF,5,0.25,,,0.01625037043572817
$WIF,5,0.5,,,0.02588969532127585
$WIF,5,0.75,,,0.0271593186036463
$WIF,5,0.9,,,0.01990350705246662
$WIF,5,0.95,,,0.013994730199210109
$michi,1,80PI,0.3333333333333333,0.1350311999450016,
$michi,1,0.05,,,0.00874638936730051
$michi,1,0.1,,,0.020321456846680876
$michi,1,0.25,,,0.03045051623742099
$michi,1,0.5,,,0.04430545502645293
$michi,1,0.75,,,0.05326778431354195
$michi,1,0.9,,,0.024443254015324538
$michi,1,0.95,,,0.01751711196984591
$michi,2,80PI,0.7666666666666667,0.15394736981270665,
$michi,2,0.05,,,0.005744264407348637
$michi,2,0.1,,,0.010386653716388682
$michi,2,0.25,,,0.021520273087692377
$michi,2,0.5,,,0.023828465229050768
$michi,2,0.75,,,0.018904102375226172
$michi,2,0.9,,,0.012379209215402493
$michi,2,0.95,,,0.008212685928716086
$michi,3,80PI,0.23333333333333334,0.12435104390322294,
$michi,3,0.05,,,0.01322314821356901
$michi,3,0.1,,,0.04878011712949371
$michi,3,0.25,,,0.06130034221172874
$michi,3,0.5,,,0.04970522908684164
$michi,3,0.75,,,0.03976450374602638
$michi,3,0.9,,,0.01649863167327063
$michi,3,0.95,,,0.009677433770117172
$michi,4,80PI,0.2,0.0754932118065199,
$michi,4,0.05,,,0.014312385434272509
$michi,4,0.1,,,0.022872580290473683
$michi,4,0.25,,,0.03437706306496321
$michi,4,0.5,,,0.04427293259682677
$michi,4,0.75,,,0.044987637392949885
$michi,4,0.9,,,0.04289497886844377
$michi,4,0.95,,,0.02919660615885754
$michi,5,80PI,0.8333333333333334,0.301148156526924,
$michi,5,0.05,,,0.009703006223580826
$michi,5,0.1,,,0.0176554540164679
$michi,5,0.25,,,0.03216405363541574
$michi,5,0.5,,,0.03469555025605741
$michi,5,0.75,,,0.02986532677909975
$michi,5,0.9,,,0.01603661151329728
$michi,5,0.95,,,0.009064028755023719
ALCH,1,80PI,0.36666666666666664,0.1519974029498465,
ALCH,1,0.05,,,0.008809548951966664
ALCH,1,0.1,,,0.020254792892433326
ALCH,1,0.25,,,0.043531947846546265
ALCH,1,0.5,,,0.0567200464571563
ALCH,1,0.75,,,0.061911805144679456
ALCH,1,0.9,,,0.05574037011593083
ALCH,1,0.95,,,0.045814254693662106
ALCH,2,80PI,0.2,0.5937747085300805,
ALCH,2,0.05,,,0.047112933906847856
ALCH,2,0.1,,,0.0840381974868059
ALCH,2,0.25,,,0.14278601560469903
ALCH,2,0.5,,,0.1676255425569827
ALCH,2,0.75,,,0.17619533669396606
ALCH,2,0.9,,,0.1817140042699478
ALCH,2,0.95,,,0.09641127320040764
ALCH,3,80PI,0.36666666666666664,0.17557575247862703,
ALCH,3,0.05,,,0.033300148150003386
ALCH,3,0.1,,,0.04451691948075332
ALCH,3,0.25,,,0.059091644444264256
ALCH,3,0.5,,,0.06851538546653234
ALCH,3,0.75,,,0.057156114951417994
ALCH,3,0.9,,,0.03076214562739359
ALCH,3,0.95,,,0.02470582755474892
ALCH,4,80PI,0.43333333333333335,0.16460737125127117,
ALCH,4,0.05,,,0.0662910894776738
ALCH,4,0.1,,,0.07122235624102553
ALCH,4,0.25,,,0.0793540901005355
ALCH,4,0.5,,,0.07218438435194129
ALCH,4,0.75,,,0.04451201620731819
ALCH,4,0.9,,,0.019530133644452007
ALCH,4,0.95,,,0.011659891650559246
ALCH,5,80PI,0.6333333333333333,0.15246392730933508,
ALCH,5,0.05,,,0.009910942872832833
ALCH,5,0.1,,,0.013241736113612648
ALCH,5,0.25,,,0.03111152892593454
ALCH,5,0.5,,,0.02938671480993632
ALCH,5,0.75,,,0.027127060997258697
ALCH,5,0.9,,,0.0159480816349278
ALCH,5,0.95,,,0.00782305807264493
AVA,1,80PI,0.8333333333333334,0.4536427614494874,
AVA,1,0.05,,,0.023124712262910168
AVA,1,0.1,,,0.03888298622260917
AVA,1,0.25,,,0.07263090727298604
AVA,1,0.5,,,0.0730480065819237
AVA,1,0.75,,,0.06982012624881713
AVA,1,0.9,,,0.029265345759784223
AVA,1,0.95,,,0.022165918400706704
AVA,2,80PI,0.3333333333333333,0.23640015355214808,
AVA,2,0.05,,,0.07593336145936674
AVA,2,0.1,,,0.08340575577120396
AVA,2,0.25,,,0.09384440754629782
AVA,2,0.5,,,0.08004064067828733
AVA,2,0.75,,,0.056844307433318045
AVA,2,0.9,,,0.03233009790306048
AVA,2,0.95,,,0.01624198487579533
AVA,3,80PI,0.5666666666666667,0.4194269648700487,
AVA,3,0.05,,,0.01906466733923954
AVA,3,0.1,,,0.03812926652409958
AVA,3,0.25,,,0.04975847553285518
AVA,3,0.5,,,0.04211323593460359
AVA,3,0.75,,,0.043721143687137226
AVA,3,0.9,,,0.03536614669444714
AVA,3,0.95,,,0.03009122638758331
AVA,4,80PI,0.7333333333333333,0.27223748019006483,
AVA,4,0.05,,,0.011996382067154424
AVA,4,0.1,,,0.019246746047274957
AVA,4,0.25,,,0.03519098438581805
AVA,4,0.5,,,0.056737381497218645
AVA,4,0.75,,,0.05722738655664303
AVA,4,0.9,,,0.018027518929435785
AVA,4,0.95,,,0.011576663184715705
AVA,5,80PI,0.7333333333333333,0.22672213404354938,
AVA,5,0.05,,,0.010254204287217414
AVA,5,0.1,,,0.020170722136319805
AVA,5,0.25,,,0.02993400845829926
AVA,5,0.5,,,0.05420501875805061
AVA,5,0.75,,,0.036500580438253064
AVA,5,0.9,,,0.019852981508579233
AVA,5,0.95,,,0.01360279517662133
FWOG,1,80PI,0.7,0.21221466485114124,
FWOG,1,0.05,,,0.019772143034445522
FWOG,1,0.1,,,0.03912204098899202
FWOG,1,0.25,,,0.07280910680120921
FWOG,1,0.5,,,0.07512959238996673
FWOG,1,0.75,,,0.0607638586091321
FWOG,1,0.9,,,0.03878263290114804
FWOG,1,0.95,,,0.025814444463963734
FWOG,2,80PI,0.6666666666666666,1.452711429243695,
FWOG,2,0.05,,,0.1183353215864857
FWOG,2,0.1,,,0.22318567401071684
FWOG,2,0.25,,,0.3085978564629545
FWOG,2,0.5,,,0.253954032453884
FWOG,2,0.75,,,0.28497851233494853
FWOG,2,0.9,,,0.1443772375814876
FWOG,2,0.95,,,0.0783033456216523
FWOG,3,80PI,0.43333333333333335,0.16841756766717994,
FWOG,3,0.05,,,0.02482221401927783
FWOG,3,0.1,,,0.033409497899640324
FWOG,3,0.25,,,0.0457564641525453
FWOG,3,0.5,,,0.04761641104345276
FWOG,3,0.75,,,0.04121748132910839
FWOG,3,0.9,,,0.02304403036483018
FWOG,3,0.95,,,0.01688642060057185
FWOG,4,80PI,0.5333333333333333,0.12162766057704105,
FWOG,4,0.05,,,0.007955973800673064
FWOG,4,0.1,,,0.014478883642638572
FWOG,4,0.25,,,0.025457482024874432
FWOG,4,0.5,,,0.033905879538010095
FWOG,4,0.75,,,0.03176346751601415
FWOG,4,0.9,,,0.025358446482445524
FWOG,4,0.95,,,0.020993060155463556
FWOG,5,80PI,0.26666666666666666,0.2230843458088973,
FWOG,5,0.05,,,0.04647273818782743
FWOG,5,0.1,,,0.05568467251672396
FWOG,5,0.25,,,0.0669032815871493
FWOG,5,0.5,,,0.06556327531459452
FWOG,5,0.75,,,0.051347939132239964
FWOG,5,0.9,,,0.03908602229862211
FWOG,5,0.95,,,0.02210670028137068
Fartcoin,1,80PI,0.7666666666666667,0.3153613347852838,
Fartcoin,1,0.05,,,0.014860426962941828
Fartcoin,1,0.1,,,0.027970132329371573
Fartcoin,1,0.25,,,0.05393294617544452
Fartcoin,1,0.5,,,0.05235346494304341
Fartcoin,1,0.75,,,0.0569614239626122
Fartcoin,1,0.9,,,0.02358259156571193
Fartcoin,1,0.95,,,0.01334067300578944
Fartcoin,2,80PI,0.4,0.8164705791069067,
Fartcoin,2,0.05,,,1.1060459265888403
Fartcoin,2,0.1,,,1.1537288927509062
Fartcoin,2,0.25,,,0.9692962066769867
Fartcoin,2,0.5,,,0.8677022015743071
Fartcoin,2,0.75,,,0.47482358668364355
Fartcoin,2,0.9,,,0.21344524877125143
Fartcoin,2,0.95,,,0.1150394326075141
Fartcoin,3,80PI,0.8333333333333334,0.3638114982913075,
Fartcoin,3,0.05,,,0.010141770886702772
Fartcoin,3,0.1,,,0.01878175918681352
Fartcoin,3,0.25,,,0.04061463470759348
Fartcoin,3,0.5,,,0.04971335376178115
Fartcoin,3,0.75,,,0.04993702283085792
Fartcoin,3,0.9,,,0.03250502079843333
Fartcoin,3,0.95,,,0.021262448350108504
Fartcoin,4,80PI,0.6,0.3054221705801875,
Fartcoin,4,0.05,,,0.020897820069282726
Fartcoin,4,0.1,,,0.0346893721576229
Fartcoin,4,0.25,,,0.048884436793847845
Fartcoin,4,0.5,,,0.043121323689765484
Fartcoin,4,0.75,,,0.04222371593988323
Fartcoin,4,0.9,,,0.03235853213628695
Fartcoin,4,0.95,,,0.020303352200572
Fartcoin,5,80PI,0.8666666666666667,0.48625201768603793,
Fartcoin,5,0.05,,,0.016460257658241956
Fartcoin,5,0.1,,,0.02874630315909227
Fartcoin,5,0.25,,,0.04698758665481462
Fartcoin,5,0.5,,,0.06015855155454507
Fartcoin,5,0.75,,,0.04379057005943606
Fartcoin,5,0.9,,,0.02581735029041148
Fartcoin,5,0.95,,,0.01533510644258023
Fartcoin,6,80PI,0.5,0.14469476090379396,
Fartcoin,6,0.05,,,0.008591460237402971
Fartcoin,6,0.1,,,0.015050034357742822
Fartcoin,6,0.25,,,0.03241741849188826
Fartcoin,6,0.5,,,0.04200909267292928
Fartcoin,6,0.75,,,0.04881590014015214
Fartcoin,6,0.9,,,0.042188225886182464
Fartcoin,6,0.95,,,0.02627760536708279
Fartcoin,7,80PI,0.3,0.11595892606485954,
Fartcoin,7,0.05,,,0.009162290195562297
Fartcoin,7,0.1,,,0.018871665872473294
Fartcoin,7,0.25,,,0.034128677602065144
Fartcoin,7,0.5,,,0.05569802429607711
Fartcoin,7,0.75,,,0.07185721543402764
Fartcoin,7,0.9,,,0.06493441306331592
Fartcoin,7,0.95,,,0.04859421174644836
GIGA,1,80PI,0.4,0.11622899035684313,
GIGA,1,0.05,,,0.03374942149453939
GIGA,1,0.1,,,0.04417906251281226
GIGA,1,0.25,,,0.049671664908516024
GIGA,1,0.5,,,0.041194521318778134
GIGA,1,0.75,,,0.02946322812682787
GIGA,1,0.9,,,0.013879009989152405
GIGA,1,0.95,,,0.006989461361679802
GIGA,2,80PI,0.43333333333333335,0.2756946928474511,
GIGA,2,0.05,,,0.09125986652500277
GIGA,2,0.1,,,0.09209578806808777
GIGA,2,0.25,,,0.08621077166908168
GIGA,2,0.5,,,0.09090623588497139
GIGA,2,0.75,,,0.06696799522651427
GIGA,2,0.9,,,0.04248726336111231
GIGA,2,0.95,,,0.024781385843562747
GIGA,3,80PI,0.4,0.12920953988261136,
GIGA,3,0.05,,,0.036270264392566094
GIGA,3,0.1,,,0.04633531369120316
GIGA,3,0.25,,,0.05221533586999445
GIGA,3,0.5,,,0.05458698967998073
GIGA,3,0.75,,,0.03964981418217855
GIGA,3,0.9,,,0.023138204657793076
GIGA,3,0.95,,,0.011207452901900944
GIGA,4,80PI,0.26666666666666666,0.09883337045208403,
GIGA,4,0.05,,,0.012967806438776704
GIGA,4,0.1,,,0.019535274555492053
GIGA,4,0.25,,,0.02733187369314133
GIGA,4,0.5,,,0.040355478541221346
GIGA,4,0.75,,,0.03884832346181901
GIGA,4,0.9,,,0.03452866992956293
GIGA,4,0.95,,,0.026323164241744794
GIGA,5,80PI,0.5,0.11366483694918529,
GIGA,5,0.05,,,0.012280411059152977
GIGA,5,0.1,,,0.020895424309302323
GIGA,5,0.25,,,0.029199020961830326
GIGA,5,0.5,,,0.035847627112770876
GIGA,5,0.75,,,0.026474400470346555
GIGA,5,0.9,,,0.014388775581057724
GIGA,5,0.95,,,0.00848280674448377
GOAT,1,80PI,0.36666666666666664,0.08672888959089102,
GOAT,1,0.05,,,0.008245870494264512
GOAT,1,0.1,,,0.013057118336366217
GOAT,1,0.25,,,0.021562989956165495
GOAT,1,0.5,,,0.0316006022598541
GOAT,1,0.75,,,0.027564913774462508
GOAT,1,0.9,,,0.02177285027907413
GOAT,1,0.95,,,0.014445583571105283
GOAT,2,80PI,0.2,0.16110688628734457,
GOAT,2,0.05,,,0.023172826383387912
GOAT,2,0.1,,,0.034426097528596385
GOAT,2,0.25,,,0.07398024260170401
GOAT,2,0.5,,,0.12394225494988016
GOAT,2,0.75,,,0.13223381310745014
GOAT,2,0.9,,,0.15060052822870912
GOAT,2,0.95,,,0.11844519563919174
GOAT,3,80PI,0.4,0.06821400425287077,
GOAT,3,0.05,,,0.004333009556983575
GOAT,3,0.1,,,0.007758479250685097
GOAT,3,0.25,,,0.014631443250643599
GOAT,3,0.5,,,0.01886119311861984
GOAT,3,0.75,,,0.01913401561325281
GOAT,3,0.9,,,0.011687328474365745
GOAT,3,0.95,,,0.008922556470788415
GOAT,4,80PI,0.7333333333333333,0.6880718807812443,
GOAT,4,0.05,,,0.0173253843331348
GOAT,4,0.1,,,0.03065503494533152
GOAT,4,0.25,,,0.0563701068688542
GOAT,4,0.5,,,0.10779763834348306
GOAT,4,0.75,,,0.05089532656103904
GOAT,4,0.9,,,0.04984796969325648
GOAT,4,0.95,,,0.027811712364458785
GOAT,5,80PI,0.5,0.5310030177286297,
GOAT,5,0.05,,,0.07747642235136991
GOAT,5,0.1,,,0.1110699830248932
GOAT,5,0.25,,,0.15731462087105777
GOAT,5,0.5,,,0.14995521720695013
GOAT,5,0.75,,,0.08495434249392592
GOAT,5,0.9,,,0.04822609107873992
GOAT,5,0.95,,,0.029833297962697687
MEW,1,80PI,0.4,0.06414594873550647,
MEW,1,0.05,,,0.010189562843520409
MEW,1,0.1,,,0.011832540648405705
MEW,1,0.25,,,0.015058746911612153
MEW,1,0.5,,,0.016230409344565887
MEW,1,0.75,,,0.011879664271344063
MEW,1,0.9,,,0.006532516890193912
MEW,1,0.95,,,0.003590429250707021
MEW,2,80PI,0.3333333333333333,0.16684382037199905,
MEW,2,0.05,,,0.012868390561677994
MEW,2,0.1,,,0.021294884375087017
MEW,2,0.25,,,0.045127227562346425
MEW,2,0.5,,,0.07412119856208688
MEW,2,0.75,,,0.07344784696791076
MEW,2,0.9,,,0.07156391255345909
MEW,2,0.95,,,0.027089969890520173
MEW,3,80PI,0.5666666666666667,0.07306186603016633,
MEW,3,0.05,,,0.004025037304036748
MEW,3,0.1,,,0.00631317074348448
MEW,3,0.25,,,0.013497482480421865
MEW,3,0.5,,,0.02264392634027989
MEW,3,0.75,,,0.023091802561610825
MEW,3,0.9,,,0.0188783179958063
MEW,3,0.95,,,0.01446768149564551
MEW,4,80PI,0.23333333333333334,0.04922798546249878,
MEW,4,0.05,,,0.011490755333508457
MEW,4,0.1,,,0.015504583910449064
MEW,4,0.25,,,0.023250163156489274
MEW,4,0.5,,,0.02871464004950142
MEW,4,0.75,,,0.026471780508073674
MEW,4,0.9,,,0.024399555830738984
MEW,4,0.95,,,0.015640039753373032
MEW,5,80PI,0.6,0.09494984031359219,
MEW,5,0.05,,,0.005099139303566258
MEW,5,0.1,,,0.009265971848868822
MEW,5,0.25,,,0.015704445611263773
MEW,5,0.5,,,0.023303374503328787
MEW,5,0.75,,,0.022144851241246898
MEW,5,0.9,,,0.020031191841017374
MEW,5,0.95,,,0.015553154150006193
MLG,1,80PI,0.5333333333333333,1.08896979000805,
MLG,1,0.05,,,0.06608657344274531
MLG,1,0.1,,,0.11959359274585298
MLG,1,0.25,,,0.2456134825905859
MLG,1,0.5,,,0.3274491288884941
MLG,1,0.75,,,0.40154846088466783
MLG,1,0.9,,,0.13972400728449955
MLG,1,0.95,,,0.026257373514369582
MLG,2,80PI,0.8666666666666667,0.3132019786940028,
MLG,2,0.05,,,0.010043079479506233
MLG,2,0.1,,,0.01941528061717583
MLG,2,0.25,,,0.026185719806002532
MLG,2,0.5,,,0.03242894089308059
MLG,2,0.75,,,0.033710922086497196
