token,fold,pinball_q10,pinball_q25,pinball_q50,pinball_q75,pinball_q90
$WIF,0,0.010584747807143446,0.015023096192638306,0.01947400213639504,0.02283995454448684,0.014398441072176395
$WIF,1,0.020134897875646506,0.030136704444359393,0.026979157202595513,0.00797195512802038,0.01145934593166822
$WIF,2,0.005697319212992713,0.010594093745257216,0.027092253160120875,0.02557575806279345,0.017979869441889097
$WIF,3,0.022236087971443604,0.03563319412137989,0.03373800511073429,0.020106053464297915,0.01025616890412438
$WIF,4,0.025716199682314363,0.047634599916549066,0.05893728646416622,0.05278558021957585,0.052922640135989546
$WIF,5,0.1285173684980537,0.14107879998675532,0.12007329102182414,0.07486887152992364,0.03936450442439511
$WIF,6,0.036992981450407005,0.0398832714246486,0.04190955329550461,0.03099375358868417,0.016306678242065397
$WIF,7,0.0286138101276112,0.05430106701536757,0.06526214996508828,0.03838314354131375,0.026426382299595107
$WIF,8,0.023267754262167113,0.043437887731251235,0.05390859930926504,0.04488908556397494,0.027107003195569357
$WIF,9,0.0053621806359426686,0.018628406856635693,0.02976933331420767,0.03211933942215875,0.019909154330902897
$WIF,10,0.02090464394332552,0.029045472682101656,0.018778338358935474,0.010177166788183499,0.010296127665102565
$WIF,11,0.03465130191644149,0.05909821899834795,0.07020558311251403,0.055632080756361814,0.03649367609789562
$WIF,12,0.02890813207967997,0.051201611333718915,0.06020995768176215,0.04527768154794664,0.031146877244238005
$WIF,13,0.01047933230926063,0.010255046321690093,0.03390044592304386,0.04209338331463424,0.023108441461407142
$WIF,14,0.013213868881153135,0.02600464979407065,0.026541282733457128,0.02059108639772252,0.016289467167232313
$WIF,15,0.016510248849486805,0.0161249048286996,0.008347128159561719,0.013605359689960204,0.016888854558983663
$WIF,16,0.02104303209734187,0.03709692158657816,0.04289581212034934,0.03534028964204803,0.021950098220750638
$WIF,17,0.04803619097635973,0.10098012470050606,0.1615011409170032,0.18624605234823277,0.16005631562134282
$WIF,18,0.027124728008993803,0.045720503507148715,0.06796079216701911,0.04361422438092871,0.015641751738424303
$WIF,19,0.009444097049227234,0.012996182015336524,0.028299390801314394,0.037997569765380955,0.024102550015076173
$WIF,20,0.012196505938777242,0.018447549066115534,0.018494411395837487,0.01743354364097946,0.014273815759832123
$WIF,21,0.02250499450254422,0.03764727565666682,0.035309425442148115,0.02534383448979539,0.010603830864263484
$WIF,22,0.008609706474995633,0.016907356985821683,0.03996520930178989,0.03645462228961858,0.02640614571369999
$WIF,23,0.013801003340479847,0.018454376862477067,0.018036836525296255,0.024649567495998444,0.023291826747055117
$WIF,24,0.009105486001592845,0.046010605866747024,0.058741907681768867,0.05593167837076111,0.035759368160258105
$michi,0,0.014207509020622672,0.021330298619426518,0.028264424298328938,0.015662203312574157,0.016619552085619358
$michi,1,0.020248420245643165,0.027680201365336023,0.014299441495055852,0.03337144461056204,0.03302728436366386
$michi,2,0.014090128914546132,0.01128561656334273,0.023050390075616673,0.02200651840283153,0.01758315604468805
$michi,3,0.009178983965851562,0.01798233500955188,0.027934167249634424,0.024176219157294777,0.018751089880390006
$michi,4,0.016083905382621125,0.02224743857260413,0.02436710179737211,0.01562839368869452,0.013530085857302232
$michi,5,0.014231099401440848,0.022793249638052043,0.033336455069788794,0.017565372840638093,0.01613788055248932
$michi,6,0.014291556955596134,0.023295087168131456,0.025504290706188083,0.023244364050333626,0.013359075450780272
$michi,7,0.03656099826000046,0.06790005367254114,0.11412235232312777,0.10875161062111745,0.03178542294191433
$michi,8,0.02624094747261005,0.06317870681238022,0.08483943944379731,0.08288531588050395,0.017847986750405942
$michi,9,0.011613600175611588,0.01914156104692354,0.029913367081449385,0.02741949590691489,0.018884445052972435
$michi,10,0.015638964073852818,0.025054413386696117,0.012155243198949929,0.010531155501891945,0.011056673506517697
$michi,11,0.03706053468842966,0.06723510967805198,0.09598107618422179,0.09261517838398703,0.014129513498384804
$michi,12,0.03779469531189817,0.07472310521907205,0.11498267580192967,0.048270451891711974,0.021731180400521233
$michi,13,0.01979900210957471,0.039522096366081366,0.04632876422011329,0.026373110256537446,0.02277089527367729
$michi,14,0.008974079846523085,0.009314711918210298,0.019219374875518808,0.021990303084330115,0.018118698863211467
$michi,15,0.012817662908539482,0.02135173304539767,0.025845157160419466,0.023477839862974716,0.017036341362556957
$michi,16,0.043151351619218285,0.08474389778972347,0.1325929714219,0.1060045061590265,0.07205588341011332
$michi,17,0.04051724550141888,0.08054230108760013,0.10167383971293915,0.04642552116089388,0.026859041499088198
$michi,18,0.03055373475127063,0.05395306094470384,0.07718829804850089,0.06066846062917427,0.039820431518586615
$michi,19,0.025149965743442155,0.03995103797356229,0.03604928898632881,0.028784421598525217,0.02914166061704589
$michi,20,0.014235455664877513,0.01837083984484891,0.026309079306794925,0.026545000799271707,0.02403571511681776
$michi,21,0.015140901652552935,0.023511111565218734,0.0231871046430359,0.02005619387388068,0.01992745884144841
$michi,22,0.013515015125423331,0.024631073987326002,0.034416342593997305,0.01977857430853412,0.01820931547588934
