token,fold,tau,pinball_loss
$WIF,0,0.1,0.08353140457265601
$WIF,0,0.25,0.06960950381054666
$WIF,0,0.5,0.046406335873697774
$WIF,0,0.75,0.025237408593559777
$WIF,0,0.9,0.010165664697778373
$WIF,1,0.1,0.02647063058708389
$WIF,1,0.25,0.02407657719021151
$WIF,1,0.5,0.020086488195424208
$WIF,1,0.75,0.011342658772033642
$WIF,1,0.9,0.008320722357593716
$WIF,2,0.1,0.11430075019267767
$WIF,2,0.25,0.09525062516056472
$WIF,2,0.5,0.06350041677370982
$WIF,2,0.75,0.03253916068333978
$WIF,2,0.9,0.014575258141359071
$WIF,3,0.1,0.013321178672754072
$WIF,3,0.25,0.015606356282329975
$WIF,3,0.5,0.019414985631623142
$WIF,3,0.75,0.016748735207886823
$WIF,3,0.9,0.01416741960916517
$WIF,4,0.1,0.019956299053660916
$WIF,4,0.25,0.03089346309886155
$WIF,4,0.5,0.04912206984086261
$WIF,4,0.75,0.061386407576197545
$WIF,4,0.9,0.06574218457281529
$WIF,5,0.1,0.28672030975417356
$WIF,5,0.25,0.23893359146181128
$WIF,5,0.5,0.15928906097454087
$WIF,5,0.75,0.07964453048727044
$WIF,5,0.9,0.041807740152847515
$WIF,6,0.1,0.08893578635600226
$WIF,6,0.25,0.07676509146056609
$WIF,6,0.5,0.05648059996817243
$WIF,6,0.75,0.03459056830554914
$WIF,6,0.9,0.015434619741779851
$WIF,7,0.1,0.0073362587928864536
$WIF,7,0.25,0.017158241202071975
$WIF,7,0.5,0.033528211884047844
$WIF,7,0.75,0.04125151974533575
$WIF,7,0.9,0.02062450970425496
$WIF,8,0.1,0.05611001540818541
$WIF,8,0.25,0.0520842936804925
$WIF,8,0.5,0.045374757467671
$WIF,8,0.75,0.03371436649078994
$WIF,8,0.9,0.02251226368125066
$WIF,9,0.1,0.1472148438649715
$WIF,9,0.25,0.12267903655414292
$WIF,9,0.5,0.0817860243694286
$WIF,9,0.75,0.04161052573417764
$WIF,9,0.9,0.02215003075884527
$WIF,10,0.1,0.07505749243206358
$WIF,10,0.25,0.06254791036005299
$WIF,10,0.5,0.04169860690670199
$WIF,10,0.75,0.02116144845196781
$WIF,10,0.9,0.012877120541106367
$WIF,11,0.1,0.021297084031457438
$WIF,11,0.25,0.02634527926148686
$WIF,11,0.5,0.03475893797820256
$WIF,11,0.75,0.043545535125426714
$WIF,11,0.9,0.027521010523607656
$WIF,12,0.1,0.01610410240004194
$WIF,12,0.25,0.020621344194160385
$WIF,12,0.5,0.028150080517691134
$WIF,12,0.75,0.03567881684122188
$WIF,12,0.9,0.025828888501824757
$WIF,13,0.1,0.14059918299745727
$WIF,13,0.25,0.1171659858312144
$WIF,13,0.5,0.0781106572208096
$WIF,13,0.75,0.0390553286104048
$WIF,13,0.9,0.023127349063016875
$WIF,14,0.1,0.11042959111021684
$WIF,14,0.25,0.09202465925851405
$WIF,14,0.5,0.06134977283900936
$WIF,14,0.75,0.03067488641950468
$WIF,14,0.9,0.01926469832232153
$WIF,15,0.1,0.07816340324145234
$WIF,15,0.25,0.06513616936787696
$WIF,15,0.5,0.04342411291191797
$WIF,15,0.75,0.023689258419139454
$WIF,15,0.9,0.017773452462678262
$WIF,16,0.1,0.0242948713617626
$WIF,16,0.25,0.027561380977614066
$WIF,16,0.5,0.03300556367069984
$WIF,16,0.75,0.03759049471342519
$WIF,16,0.9,0.03675277509486984
$WIF,17,0.1,0.03121470890861384
$WIF,17,0.25,0.07803677227153459
$WIF,17,0.5,0.15607354454306918
$WIF,17,0.75,0.2332107720808673
$WIF,17,0.9,0.2747743817395552
$WIF,18,0.1,0.11025083423210585
$WIF,18,0.25,0.09187569519342154
$WIF,18,0.5,0.061250463462281024
$WIF,18,0.75,0.036069092930088344
$WIF,18,0.9,0.034407147479755075
$WIF,19,0.1,0.23283759889250233
$WIF,19,0.25,0.1940313324104186
$WIF,19,0.5,0.12935422160694574
$WIF,19,0.75,0.06479913137760827
$WIF,19,0.9,0.0448185582571175
$WIF,20,0.1,0.19414199363977802
$WIF,20,0.25,0.16178499469981503
$WIF,20,0.5,0.10785666313321002
$WIF,20,0.75,0.05392833156660501
$WIF,20,0.9,0.035152384782443806
$WIF,21,0.1,0.10475398289502569
$WIF,21,0.25,0.08729498574585474
$WIF,21,0.5,0.05819665716390316
$WIF,21,0.75,0.02909832858195158
$WIF,21,0.9,0.026839319822322346
$WIF,22,0.1,0.10900783183499034
$WIF,22,0.25,0.09083985986249195
$WIF,22,0.5,0.06055990657499464
$WIF,22,0.75,0.03027995328749732
$WIF,22,0.9,0.012111981314998925
$WIF,23,0.1,0.025305751514839946
$WIF,23,0.25,0.022091414678709443
$WIF,23,0.5,0.01571804772492404
$WIF,23,0.75,0.009663780029232068
$WIF,23,0.9,0.010202254213822195
$WIF,24,0.1,0.11309169443494715
$WIF,24,0.25,0.09934178198444578
$WIF,24,0.5,0.06622785465629719
$WIF,24,0.75,0.04137585449400202
$WIF,24,0.9,0.028831973529399632
$michi,0,0.1,0.034650330597680704
$michi,0,0.25,0.032016147472069066
$michi,0,0.5,0.02762584226271635
$michi,0,0.75,0.021891624994019657
$michi,0,0.9,0.009824171996626397
$michi,1,0.1,0.024548152831658416
$michi,1,0.25,0.024187055276395874
$michi,1,0.5,0.017281135933576008
$michi,1,0.75,0.03121721804568413
$michi,1,0.9,0.02340238583730911
$michi,2,0.1,0.0642208872993517
$michi,2,0.25,0.05819803720270365
$michi,2,0.5,0.03988068673469172
$michi,2,0.75,0.021563336266679792
$michi,2,0.9,0.009538307358374484
$michi,3,0.1,0.060623231848807
$michi,3,0.25,0.051447789838152784
$michi,3,0.5,0.03615538648706244
$michi,3,0.75,0.020862983135972096
$michi,3,0.9,0.013139059281529503
$michi,4,0.1,0.028777817873365367
$michi,4,0.25,0.026132325270220205
$michi,4,0.5,0.02172317093164493
$michi,4,0.75,0.016620856535339092
$michi,4,0.9,0.0142244578317577
$michi,5,0.1,0.04087703052838404
$michi,5,0.25,0.03499486061636598
$michi,5,0.5,0.025191244096335875
$michi,5,0.75,0.01507005898921808
$michi,5,0.9,0.010669021683538832
$michi,6,0.1,0.037554910706770396
$michi,6,0.25,0.03413512254057777
$michi,6,0.5,0.028435475596923387
$michi,6,0.75,0.02066562865402111
$michi,6,0.9,0.015229113138828979
$michi,7,0.1,0.03196082105743362
$michi,7,0.25,0.05949452506703858
$michi,7,0.5,0.10538403174971349
$michi,7,0.75,0.11921850022137488
$michi,7,0.9,0.05476439469997416
$michi,8,0.1,0.09491893890578877
$michi,8,0.25,0.09170166755542941
$michi,8,0.5,0.0863395486381638
$michi,8,0.75,0.0809774297208982
$michi,8,0.9,0.018545398621151104
$michi,9,0.1,0.1792645220875847
$michi,9,0.25,0.14938710173965394
$michi,9,0.5,0.09959140115976926
$michi,9,0.75,0.04979570057988463
$michi,9,0.9,0.020189715543980757
$michi,10,0.1,0.12881491053419766
$michi,10,0.25,0.10734575877849806
$michi,10,0.5,0.07156383918566538
$michi,10,0.75,0.03578191959283269
$michi,10,0.9,0.01431276783713307
$michi,11,0.1,0.02222804459273996
$michi,11,0.25,0.029148168773432733
$michi,11,0.5,0.04068170907458737
$michi,11,0.75,0.052215249375741984
$michi,11,0.9,0.03082385373391246
$michi,12,0.1,0.06401207936619072
$michi,12,0.25,0.06912397098100755
$michi,12,0.5,0.07764379033903557
$michi,12,0.75,0.04344592745865911
$michi,12,0.9,0.028505880998284966
$michi,13,0.1,0.1058463749137003
$michi,13,0.25,0.08820531242808359
$michi,13,0.5,0.05880354161872239
$michi,13,0.75,0.03248951038438726
$michi,13,0.9,0.01616182882214935
$michi,14,0.1,0.15688693298813003
$michi,14,0.25,0.1307391108234417
$michi,14,0.5,0.0871594072156278
$michi,14,0.75,0.0435797036078139
$michi,14,0.9,0.017431881443125557
$michi,15,0.1,0.16915016816397688
$michi,15,0.25,0.14095847346998075
$michi,15,0.5,0.09397231564665383
$michi,15,0.75,0.046986157823326914
$michi,15,0.9,0.018794463129330762
$michi,16,0.1,0.015721113002126197
$michi,16,0.25,0.038557653791689996
$michi,16,0.5,0.07661855510762967
$michi,16,0.75,0.10637550149580531
$michi,16,0.9,0.07896274892982466
$michi,17,0.1,0.00943279478004567
$michi,17,0.25,0.023581986950114178
$michi,17,0.5,0.047163973900228355
$michi,17,0.75,0.05352723577748001
$michi,17,0.9,0.03221676429045598
$michi,18,0.1,0.13103739885913096
$michi,18,0.25,0.11630721546615437
$michi,18,0.5,0.09175690981119337
$michi,18,0.75,0.06713015562988629
$michi,18,0.9,0.03366046591144722
$michi,19,0.1,0.1995495701416795
$michi,19,0.25,0.16629130845139958
$michi,19,0.5,0.11086087230093304
$michi,19,0.75,0.058340077133477365
$michi,19,0.9,0.03789090982965827
$michi,20,0.1,0.21386717036428257
$michi,20,0.25,0.17822264197023543
$michi,20,0.5,0.11881509464682362
$michi,20,0.75,0.05940754732341181
$michi,20,0.9,0.02640181237635844
$michi,21,0.1,0.12108791848772754
$michi,21,0.25,0.10090659873977294
$michi,21,0.5,0.0672710658265153
$michi,21,0.75,0.03363553291325765
$michi,21,0.9,0.01578351747878114
$michi,22,0.1,0.054601084749897714
$michi,22,0.25,0.04650064040161971
$michi,22,0.5,0.032999899821156364
$michi,22,0.75,0.01949915924069302
$michi,22,0.9,0.012111498191787598
$michi,23,0.1,0.10916780987687734
$michi,23,0.25,0.09097317489739777
$michi,23,0.5,0.06064878326493186
$michi,23,0.75,0.03032439163246593
$michi,23,0.9,0.012348786304816733
$michi,24,0.1,0.052267038535885386
$michi,24,0.25,0.04620790764626597
$michi,24,0.5,0.0361093561635669
$michi,24,0.75,0.027143612167917833
$michi,24,0.9,0.02137605566390303
ALCH,0,0.1,0.00817622853511063
ALCH,0,0.25,0.010674471281475967
ALCH,0,0.5,0.014838209192084862
ALCH,0,0.75,0.021825052920672924
ALCH,0,0.9,0.010472896133368258
ALCH,1,0.1,0.04344266128857954
ALCH,1,0.25,0.03676847575174153
ALCH,1,0.5,0.041179032866520505
ALCH,1,0.75,0.042787633066712204
ALCH,1,0.9,0.02659267997189757
ALCH,2,0.1,0.06663343568631831
ALCH,2,0.25,0.1261387680737381
ALCH,2,0.5,0.20340277939507212
ALCH,2,0.75,0.20541755901264705
ALCH,2,0.9,0.09921140773230956
ALCH,3,0.1,0.096085572424856
ALCH,3,0.25,0.18424645742980317
ALCH,3,0.5,0.305185524503989
ALCH,3,0.75,0.2691826610053823
ALCH,3,0.9,0.19754231664974053
ALCH,4,0.1,0.36593289667198103
ALCH,4,0.25,0.3049440805599841
ALCH,4,0.5,0.20329605370665613
ALCH,4,0.75,0.10732436530829294
ALCH,4,0.9,0.08150163600526462
ALCH,5,0.1,0.3899178803998446
ALCH,5,0.25,0.32493156699987047
ALCH,5,0.5,0.2166210446665803
ALCH,5,0.75,0.1107128267164487
ALCH,5,0.9,0.075281955773075
ALCH,6,0.1,0.4344904711343099
ALCH,6,0.25,0.36207539261192484
ALCH,6,0.5,0.2413835950746166
ALCH,6,0.75,0.1206917975373083
ALCH,6,0.9,0.07051221448262036
ALCH,7,0.1,0.08488136196776269
ALCH,7,0.25,0.08116127509028924
ALCH,7,0.5,0.07496113029450015
ALCH,7,0.75,0.07084664953775782
ALCH,7,0.9,0.08086940537251318
ALCH,8,0.1,0.03048625222788268
ALCH,8,0.25,0.03299834338933752
ALCH,8,0.5,0.037185161991762264
ALCH,8,0.75,0.09417971064081265
ALCH,8,0.9,0.06814959157224278
ALCH,9,0.1,0.22918562466769352
ALCH,9,0.25,0.19098802055641126
ALCH,9,0.5,0.1273253470376075
ALCH,9,0.75,0.06366267351880375
ALCH,9,0.9,0.02821596930487531
ALCH,10,0.1,0.18336427228044203
ALCH,10,0.25,0.15280356023370167
ALCH,10,0.5,0.10186904015580112
ALCH,10,0.75,0.05093452007790056
ALCH,10,0.9,0.02037380803116022
ALCH,11,0.1,0.06598700896007532
ALCH,11,0.25,0.05938217730302075
ALCH,11,0.5,0.04837412454126311
ALCH,11,0.75,0.03746395556830788
ALCH,11,0.9,0.03776116446201412
ALCH,12,0.1,0.21171418839881925
ALCH,12,0.25,0.17642849033234934
ALCH,12,0.5,0.11761899355489958
ALCH,12,0.75,0.05880949677744979
ALCH,12,0.9,0.02352379871097991
ALCH,13,0.1,0.02918226751840869
ALCH,13,0.25,0.029222156823486386
ALCH,13,0.5,0.029288638998615887
ALCH,13,0.75,0.026394762156972406
ALCH,13,0.9,0.015209539377114438
ALCH,14,0.1,0.08166265802476305
ALCH,14,0.25,0.06918114425879367
ALCH,14,0.5,0.04837862131551136
ALCH,14,0.75,0.03116309039453853
ALCH,14,0.9,0.011743617299795285
ALCH,15,0.1,0.07684344548146646
ALCH,15,0.25,0.06403620456788871
ALCH,15,0.5,0.04269080304525915
ALCH,15,0.75,0.023819200249926075
ALCH,15,0.9,0.017392474790326438
ALCH,16,0.1,0.044682954134865206
ALCH,16,0.25,0.03791111568446065
ALCH,16,0.5,0.03148235963468423
ALCH,16,0.75,0.025162027427944933
ALCH,16,0.9,0.015549809148320735
ALCH,17,0.1,0.11979639354071066
ALCH,17,0.25,0.0998303279505922
ALCH,17,0.5,0.06655355196706148
ALCH,17,0.75,0.03402290494878191
ALCH,17,0.9,0.021098413121796115
ALCH,18,0.1,0.006956168940316874
ALCH,18,0.25,0.017390422350792183
ALCH,18,0.5,0.034780844701584365
ALCH,18,0.75,0.029570474528567075
ALCH,18,0.9,0.018950068430010573
ALCH,19,0.1,0.04338153503135005
ALCH,19,0.25,0.03774433833254202
ALCH,19,0.5,0.028349010501195305
ALCH,19,0.75,0.018861736621867988
ALCH,19,0.9,0.014784315746920037
ALCH,20,0.1,0.0692353174110587
ALCH,20,0.25,0.05822485155678762
ALCH,20,0.5,0.03987407513300248
ALCH,20,0.75,0.026980284108149788
ALCH,20,0.9,0.02311143125774159
ALCH,21,0.1,0.07959475227811579
ALCH,21,0.25,0.06632896023176316
ALCH,21,0.5,0.04421930682117544
ALCH,21,0.75,0.029152001884432163
ALCH,21,0.9,0.015957546281862956
ALCH,22,0.1,0.027591809171967036
ALCH,22,0.25,0.02378184035322679
ALCH,22,0.5,0.017431892321993037
ALCH,22,0.75,0.011081944290759288
ALCH,22,0.9,0.005989488005779132
ALCH,23,0.1,0.016356972645773165
ALCH,23,0.25,0.013630810538144302
ALCH,23,0.5,0.009087207025429535
ALCH,23,0.75,0.004795616745440822
ALCH,23,0.9,0.002846846214659133
ALCH,24,0.1,0.018083848800197064
ALCH,24,0.25,0.015715687229915513
ALCH,24,0.5,0.011768751279446257
ALCH,24,0.75,0.010871561484529476
ALCH,24,0.9,0.006863092348590297
AVA,0,0.1,0.06487737566573748
AVA,0,0.25,0.059256091914132135
AVA,0,0.5,0.04988728566145656
AVA,0,0.75,0.03982837135368513
AVA,0,0.9,0.03188213479063542
AVA,1,0.1,0.07053522738328831
AVA,1,0.25,0.06582309030285513
AVA,1,0.5,0.045896656894502015
AVA,1,0.75,0.0475118767762966
AVA,1,0.9,0.0450818983230216
AVA,2,0.1,0.04427345973240392
AVA,2,0.25,0.03765961651440222
AVA,2,0.5,0.02663654448439938
AVA,2,0.75,0.012270147218111935
AVA,2,0.9,0.005627708704014804
AVA,3,0.1,0.02741990776450401
AVA,3,0.25,0.022849923137086673
AVA,3,0.5,0.015233282091391118
AVA,3,0.75,0.007616641045695559
AVA,3,0.9,0.0031796441171977833
AVA,4,0.1,0.0789489827410577
AVA,4,0.25,0.07437745369989439
AVA,4,0.5,0.050459949862262675
AVA,4,0.75,0.02937267255462994
AVA,4,0.9,0.014771984109022307
AVA,5,0.1,0.05517996853123954
AVA,5,0.25,0.050018575315700205
AVA,5,0.5,0.041416253289801336
AVA,5,0.75,0.03281393126390246
AVA,5,0.9,0.022145884196372496
AVA,6,0.1,0.025633241210414607
AVA,6,0.25,0.023709995648345028
AVA,6,0.5,0.020504586378229047
AVA,6,0.75,0.017903497140054552
AVA,6,0.9,0.004969398545164901
AVA,7,0.1,0.007926738792632419
AVA,7,0.25,0.018480464115269917
AVA,7,0.5,0.03145131387420094
AVA,7,0.75,0.02649319602848284
AVA,7,0.9,0.028498837005322044
AVA,8,0.1,0.02315182467936026
AVA,8,0.25,0.05787956169840066
AVA,8,0.5,0.11575912339680132
AVA,8,0.75,0.061651686318069644
AVA,8,0.9,0.06788466078476439
AVA,9,0.1,0.220851535100812
AVA,9,0.25,0.18404294591734335
AVA,9,0.5,0.12269529727822888
AVA,9,0.75,0.06134764863911444
AVA,9,0.9,0.03129521146183357
AVA,10,0.1,0.22021544676666868
AVA,10,0.25,0.18351287230555716
AVA,10,0.5,0.12234191487037148
AVA,10,0.75,0.06117095743518574
AVA,10,0.9,0.02993936420179612
AVA,11,0.1,0.07833409675765175
AVA,11,0.25,0.07599374056563067
AVA,11,0.5,0.07209314691226221
AVA,11,0.75,0.0691706635773179
AVA,11,0.9,0.031056426805183116
AVA,12,0.1,0.18948391959648958
AVA,12,0.25,0.16320495361502355
AVA,12,0.5,0.11940667697924683
AVA,12,0.75,0.07210694168630234
AVA,12,0.9,0.03180989732322963
AVA,13,0.1,0.156906575141615
AVA,13,0.25,0.13075547928467915
AVA,13,0.5,0.08717031952311945
AVA,13,0.75,0.04440014224103042
AVA,13,0.9,0.028326555340915882
AVA,14,0.1,0.08076002407378416
AVA,14,0.25,0.07023418244899755
AVA,14,0.5,0.052691113074353195
AVA,14,0.75,0.036759284973831755
AVA,14,0.9,0.019072495247095027
AVA,15,0.1,0.10623856697837268
AVA,15,0.25,0.0885321391486439
AVA,15,0.5,0.059021426099095935
AVA,15,0.75,0.030275202424605022
AVA,15,0.9,0.020699158917142562
AVA,16,0.1,0.10769329414879653
AVA,16,0.25,0.09172633708377836
AVA,16,0.5,0.06511474197541477
AVA,16,0.75,0.0384436776204357
AVA,16,0.9,0.01911677429276013
AVA,17,0.1,0.10102779553583152
AVA,17,0.25,0.08483744907095338
AVA,17,0.5,0.05785353829615646
AVA,17,0.75,0.03086962752135954
AVA,17,0.9,0.015408297311647537
AVA,18,0.1,0.11050677207153148
AVA,18,0.25,0.09208897672627624
AVA,18,0.5,0.06139265115085082
AVA,18,0.75,0.03069632557542541
AVA,18,0.9,0.017630326295312488
AVA,19,0.1,0.09149615100207763
AVA,19,0.25,0.07624679250173134
AVA,19,0.5,0.05083119500115424
AVA,19,0.75,0.026113892869454255
AVA,19,0.9,0.016783023758445925
AVA,20,0.1,0.034833807854629535
AVA,20,0.25,0.03429135234836439
AVA,20,0.5,0.03338725983792249
AVA,20,0.75,0.03388087149810232
AVA,20,0.9,0.015639126172926242
AVA,21,0.1,0.03489896024292119
AVA,21,0.25,0.05637859489704571
AVA,21,0.5,0.09217798598725324
AVA,21,0.75,0.1218332816260783
AVA,21,0.9,0.056960720890700534
AVA,22,0.1,0.23114447211209707
AVA,22,0.25,0.19355337184471122
AVA,22,0.5,0.1309015380657349
AVA,22,0.75,0.07109758498389296
AVA,22,0.9,0.042961817406845314
AVA,23,0.1,0.05186740497079695
AVA,23,0.25,0.04865986472271567
AVA,23,0.5,0.04331396430924687
AVA,23,0.75,0.031013632834807254
AVA,23,0.9,0.010665345824254824
AVA,24,0.1,0.14880574694117835
AVA,24,0.25,0.12400478911764863
AVA,24,0.5,0.08266985941176576
AVA,24,0.75,0.04212264580498463
AVA,24,0.9,0.01684905832199385
BOME,0,0.1,0.043880658760041595
BOME,0,0.25,0.03745559293141525
BOME,0,0.5,0.02674714988370469
BOME,0,0.75,0.0171344041253975
BOME,0,0.9,0.01047480799614482
BOME,1,0.1,0.015334072080416388
BOME,1,0.25,0.015019968850874227
BOME,1,0.5,0.014496463468303961
BOME,1,0.75,0.0116838493497571
BOME,1,0.9,0.007515140762555247
BOME,2,0.1,0.08719945552182723
BOME,2,0.25,0.07266621293485603
BOME,2,0.5,0.04844414195657068
BOME,2,0.75,0.0272228376950984
BOME,2,0.9,0.01679466458848641
BOME,3,0.1,0.017588539273202156
BOME,3,0.25,0.021548583090473025
BOME,3,0.5,0.028148656119257806
BOME,3,0.75,0.028984505627396698
BOME,3,0.9,0.02048058244364084
BOME,4,0.1,0.013446183492644648
BOME,4,0.25,0.01742807528933559
BOME,4,0.5,0.023646798384047943
BOME,4,0.75,0.023931160965052673
BOME,4,0.9,0.013930345272873767
BOME,5,0.1,0.06776072476097762
BOME,5,0.25,0.05653660585036335
BOME,5,0.5,0.03782974099933956
BOME,5,0.75,0.019122876148315777
BOME,5,0.9,0.011454888754095392
BOME,6,0.1,0.07651199161353739
BOME,6,0.25,0.06375999301128116
BOME,6,0.5,0.04250666200752077
BOME,6,0.75,0.026510666383420964
BOME,6,0.9,0.01632705068149384
BOME,7,0.1,0.03718731827343684
BOME,7,0.25,0.03160470377298169
BOME,7,0.5,0.02230034627222312
BOME,7,0.75,0.010567308090846115
BOME,7,0.9,0.006631771040230032
BOME,8,0.1,0.05032849790742621
BOME,8,0.25,0.04194041492285518
BOME,8,0.5,0.027960276615236784
BOME,8,0.75,0.014701855583756382
BOME,8,0.9,0.0062008323774967984
BOME,9,0.1,0.041593117966811526
BOME,9,0.25,0.03466093163900961
BOME,9,0.5,0.023107287759339738
BOME,9,0.75,0.01435014257894389
BOME,9,0.9,0.008678730118257089
BOME,10,0.1,0.02547058424968632
BOME,10,0.25,0.02281564218934159
BOME,10,0.5,0.01839073875543371
BOME,10,0.75,0.014657321830550291
BOME,10,0.9,0.007372807138659467
BOME,11,0.1,0.007985910020712776
BOME,11,0.25,0.017264046013149223
BOME,11,0.5,0.03122195903576495
BOME,11,0.75,0.03935783573232098
BOME,11,0.9,0.031500378142722996
BOME,12,0.1,0.05104591454911702
BOME,12,0.25,0.042538262124264176
BOME,12,0.5,0.028358841416176117
BOME,12,0.75,0.01576763037921397
BOME,12,0.9,0.013005525886231961
BOME,13,0.1,0.05383927233056141
BOME,13,0.25,0.04491684325643671
BOME,13,0.5,0.03004612813289553
BOME,13,0.75,0.015278444097154467
BOME,13,0.9,0.012359070620978697
BOME,14,0.1,0.03531191454615752
BOME,14,0.25,0.029454160340395857
BOME,14,0.5,0.019691236664126418
BOME,14,0.75,0.012766718993046539
BOME,14,0.9,0.010007178023431679
BOME,15,0.1,0.03168653712801031
BOME,15,0.25,0.027335223301434647
BOME,15,0.5,0.020083033590475207
BOME,15,0.75,0.014364098166414895
BOME,15,0.9,0.00924339801609655
BOME,16,0.1,0.024249207897608257
BOME,16,0.25,0.02275090748439122
BOME,16,0.5,0.020253740129029505
BOME,16,0.75,0.01775657277366778
BOME,16,0.9,0.012013685124326873
BOME,17,0.1,0.015619997633547896
BOME,17,0.25,0.01747681844900721
BOME,17,0.5,0.02057151980810608
BOME,17,0.75,0.0236721849450852
BOME,17,0.9,0.019488183104137705
BOME,18,0.1,0.06096924868040702
BOME,18,0.25,0.05080770723367251
BOME,18,0.5,0.033871804822448344
BOME,18,0.75,0.021265518304868638
