feature,importance
proc,0.15429111995470485
stoch_k,0.1273763390943596
bollinger_b,0.1259799144798357
cci,0.11515249544133352
obv,0.06241026046027327
roc_3,0.048844381706019166
logret_36h,0.038249090772538054
vol_std_7bar,0.036522980128353554
price_volume,0.03645694519148377
parkinson_vol_36h,0.036451182354709274
bollinger_bw,0.028326453719141914
extreme_count_72h,0.026927470324503818
gk_vol_36h,0.021590082976209943
macd,0.01827414573617649
holder_growth_1bar,0.016906043540918014
momentum,0.01663814996584313
vol_zscore_14,0.01387431169166273
adx,0.0136660966134681
logret_12h,0.013620195885590741
downside_vol_3bar,0.010888967162177148
holder_growth_7d,0.008041900434867294
vol,0.00715073810374188
ret_ETH,0.003937333950458671
ret_SOL,0.0035094825999205962
macd_signal,0.0034771163599613126
tx_per_account,0.0033095899613662513
skew_36h,0.002530654062528012
amihud_illiq_12h,0.0023330470712347845
day_of_week,0.0016419747360078524
ret_BTC,0.0014886037445526166
hour_cos,0.00013293177605811068
extreme_flag1,0.0
tail_asym,0.0
