token,fold,tau,pinball_loss
$WIF,0,0.05,0.009691724877181299
$WIF,0,0.1,0.013129069751401622
$WIF,0,0.25,0.020324610648115724
$WIF,0,0.5,0.017724189365475984
$WIF,0,0.75,0.022603905881219483
$WIF,0,0.9,0.011420813530963895
$WIF,0,0.95,0.00825773490415229
$WIF,1,0.05,0.0053006160221640295
$WIF,1,0.1,0.006981018890239196
$WIF,1,0.25,0.015129276632182656
$WIF,1,0.5,0.01161468989220634
$WIF,1,0.75,0.016787398021218286
$WIF,1,0.9,0.01263724210630567
$WIF,1,0.95,0.008558274269580246
$WIF,2,0.05,0.006474272656802196
$WIF,2,0.1,0.00983074545546358
$WIF,2,0.25,0.02752721251071776
$WIF,2,0.5,0.023966893343117617
$WIF,2,0.75,0.019401292452459203
$WIF,2,0.9,0.008733752564200127
$WIF,2,0.95,0.005089808808180986
$WIF,3,0.05,0.007760066501309334
$WIF,3,0.1,0.01261323892946776
$WIF,3,0.25,0.023087375598165608
$WIF,3,0.5,0.027605204245780973
$WIF,3,0.75,0.020179862524536282
$WIF,3,0.9,0.009149416194043553
$WIF,3,0.95,0.004364738371433057
$WIF,4,0.05,0.00998848801122981
$WIF,4,0.1,0.016969576717039362
$WIF,4,0.25,0.031545876233261265
$WIF,4,0.5,0.0472658477806814
$WIF,4,0.75,0.06217781989258064
$WIF,4,0.9,0.04365436894839828
$WIF,4,0.95,0.04391937761533995
$WIF,5,0.05,0.05471328102664643
$WIF,5,0.1,0.08742310627019766
$WIF,5,0.25,0.1123206357258868
$WIF,5,0.5,0.08681267452807075
$WIF,5,0.75,0.04829438064234049
$WIF,5,0.9,0.024994894736471113
$WIF,5,0.95,0.014683115255638743
$WIF,6,0.05,0.012069543110203744
$WIF,6,0.1,0.026651204066731937
$WIF,6,0.25,0.04664956769034851
$WIF,6,0.5,0.05436171876771149
$WIF,6,0.75,0.04138792746758152
$WIF,6,0.9,0.013104378352038407
$WIF,6,0.95,0.011504632813986051
$WIF,7,0.05,0.013578712154079653
$WIF,7,0.1,0.020615805180977716
$WIF,7,0.25,0.04452975527306565
$WIF,7,0.5,0.02585610342093299
$WIF,7,0.75,0.012142865164620376
$WIF,7,0.9,0.010727706794116443
$WIF,7,0.95,0.010152961141141224
$WIF,8,0.05,0.01463781982818257
$WIF,8,0.1,0.021442021114940344
$WIF,8,0.25,0.04347367218817786
$WIF,8,0.5,0.022892684077743808
$WIF,8,0.75,0.024219060431650497
$WIF,8,0.9,0.01378767849850889
$WIF,8,0.95,0.011689733345561325
$WIF,9,0.05,0.007088246447929531
$WIF,9,0.1,0.010727572592866087
$WIF,9,0.25,0.02157737095134506
$WIF,9,0.5,0.04127679001405696
$WIF,9,0.75,0.02713844175899841
$WIF,9,0.9,0.013498979019985221
$WIF,9,0.95,0.006873300335966216
$WIF,10,0.05,0.005681984110644364
$WIF,10,0.1,0.009793441397220163
$WIF,10,0.25,0.01901545725113927
$WIF,10,0.5,0.014569351249620605
$WIF,10,0.75,0.015377308793835176
$WIF,10,0.9,0.011550440778032134
$WIF,10,0.95,0.0067995401302721825
$WIF,11,0.05,0.007880528257683721
$WIF,11,0.1,0.013104997666722374
$WIF,11,0.25,0.02287713372568051
$WIF,11,0.5,0.028667204578973714
$WIF,11,0.75,0.033129386807290426
$WIF,11,0.9,0.013106582059953784
$WIF,11,0.95,0.006564204311469608
$WIF,12,0.05,0.008592564905290341
$WIF,12,0.1,0.0144625712483756
$WIF,12,0.25,0.02689286265356779
$WIF,12,0.5,0.03780320995141718
$WIF,12,0.75,0.03575758123912189
$WIF,12,0.9,0.0201834833801957
$WIF,12,0.95,0.009884219184590705
$WIF,13,0.05,0.0030608267033540924
$WIF,13,0.1,0.0053258709880368875
$WIF,13,0.25,0.019854604511308896
$WIF,13,0.5,0.023415966889230127
$WIF,13,0.75,0.01904605450211017
$WIF,13,0.9,0.014012315885834313
$WIF,13,0.95,0.0077653814423820815
$WIF,14,0.05,0.004708874023469458
$WIF,14,0.1,0.006724764060135846
$WIF,14,0.25,0.01994909574044981
$WIF,14,0.5,0.01978208867245436
$WIF,14,0.75,0.013025537415848264
$WIF,14,0.9,0.0096091259626991
$WIF,14,0.95,0.007057299065947948
$WIF,15,0.05,0.007281015972733473
$WIF,15,0.1,0.009290137817658197
$WIF,15,0.25,0.014500686688088828
$WIF,15,0.5,0.01729748113050182
$WIF,15,0.75,0.012186522206207211
$WIF,15,0.9,0.005463010775895632
$WIF,15,0.95,0.0033867896131567848
$WIF,16,0.05,0.006088054318507789
$WIF,16,0.1,0.01177644449606205
$WIF,16,0.25,0.01750016849620595
$WIF,16,0.5,0.020257994607066718
$WIF,16,0.75,0.021218683678228285
$WIF,16,0.9,0.0075891294348371975
$WIF,16,0.95,0.005343316142902326
$WIF,17,0.05,0.017330265622850605
$WIF,17,0.1,0.03420494344105692
$WIF,17,0.25,0.07152646203929325
$WIF,17,0.5,0.12721472399180486
$WIF,17,0.75,0.1529305221401907
$WIF,17,0.9,0.13363984102462304
$WIF,17,0.95,0.12433853279150693
$WIF,18,0.05,0.011658104372753095
$WIF,18,0.1,0.017888530479847908
$WIF,18,0.25,0.030904699583146816
$WIF,18,0.5,0.035059334120709135
$WIF,18,0.75,0.025357414590299762
$WIF,18,0.9,0.02386862142075501
$WIF,18,0.95,0.01681346230684533
$WIF,19,0.05,0.0028351495651535697
$WIF,19,0.1,0.0037504664169296857
$WIF,19,0.25,0.02294986071414642
$WIF,19,0.5,0.024565771564129656
$WIF,19,0.75,0.024568327990349692
$WIF,19,0.9,0.02992105528582269
$WIF,19,0.95,0.01988088110034518
$WIF,20,0.05,0.0037217766567872635
$WIF,20,0.1,0.007201457962946768
$WIF,20,0.25,0.02579387761492317
$WIF,20,0.5,0.02513767437223347
$WIF,20,0.75,0.02739124135663576
$WIF,20,0.9,0.027195569558344082
$WIF,20,0.95,0.016907543281355897
$WIF,21,0.05,0.008653650767447714
$WIF,21,0.1,0.009816802894254465
$WIF,21,0.25,0.01983012045338718
$WIF,21,0.5,0.02400474688804505
$WIF,21,0.75,0.01934450417299127
$WIF,21,0.9,0.023805257459963296
$WIF,21,0.95,0.015831891852670598
$WIF,22,0.05,0.005384786774512385
$WIF,22,0.1,0.0137974462261942
$WIF,22,0.25,0.019928290583352843
$WIF,22,0.5,0.019240105494984255
$WIF,22,0.75,0.012803560822235355
$WIF,22,0.9,0.01026098870236053
$WIF,22,0.95,0.006501179639906694
$WIF,23,0.05,0.007148123272059892
$WIF,23,0.1,0.010931124111856512
$WIF,23,0.25,0.01079662993465016
$WIF,23,0.5,0.011073656065723308
$WIF,23,0.75,0.004901993239111201
$WIF,23,0.9,0.004847451993668042
$WIF,23,0.95,0.005186305781791492
$WIF,24,0.05,0.014575450516502289
$WIF,24,0.1,0.019660656938560006
$WIF,24,0.25,0.013880402041640804
$WIF,24,0.5,0.023408990462984728
$WIF,24,0.75,0.017382937619909597
$WIF,24,0.9,0.009947552636991935
$WIF,24,0.95,0.007889958640410016
$michi,0,0.05,0.003701741397807386
$michi,0,0.1,0.00642663386084965
$michi,0,0.25,0.01628549702232623
$michi,0,0.5,0.02378866508887573
$michi,0,0.75,0.02111339281994698
$michi,0,0.9,0.014129794016440171
$michi,0,0.95,0.011458751327313462
$michi,1,0.05,0.00410802667553411
$michi,1,0.1,0.006657757311449023
$michi,1,0.25,0.009195590233911663
$michi,1,0.5,0.016415320803756128
$michi,1,0.75,0.022314044990635527
$michi,1,0.9,0.021366204991555258
$michi,1,0.95,0.01646308408515134
$michi,2,0.05,0.003527933254520759
$michi,2,0.1,0.004279533903464377
$michi,2,0.25,0.009029287890996196
$michi,2,0.5,0.01893513555297927
$michi,2,0.75,0.015125395056104038
$michi,2,0.9,0.011567787676961448
$michi,2,0.95,0.0076784834037185315
$michi,3,0.05,0.004031825254656301
$michi,3,0.1,0.005587903952998197
$michi,3,0.25,0.011150524479460652
$michi,3,0.5,0.015105427822260008
$michi,3,0.75,0.013364155148363569
$michi,3,0.9,0.0051003253389333295
$michi,3,0.95,0.004858277439084801
$michi,4,0.05,0.005045049191323453
$michi,4,0.1,0.007744313562985042
$michi,4,0.25,0.01457667552807921
$michi,4,0.5,0.011955833068941787
$michi,4,0.75,0.009239921789031666
$michi,4,0.9,0.003930562147166039
$michi,4,0.95,0.00434342736035648
$michi,5,0.05,0.01578766084833386
$michi,5,0.1,0.01813196471802438
$michi,5,0.25,0.02732387475419265
$michi,5,0.5,0.03432561763834926
$michi,5,0.75,0.032201664408486146
$michi,5,0.9,0.02356273750577666
$michi,5,0.95,0.015027496999294643
$michi,6,0.05,0.00508107539270375
$michi,6,0.1,0.012788551439015708
$michi,6,0.25,0.0209476995456034
$michi,6,0.5,0.02335521148438335
$michi,6,0.75,0.01795614664074362
$michi,6,0.9,0.00852268077713307
$michi,6,0.95,0.004837870911928447
$michi,7,0.05,0.013488723486246551
$michi,7,0.1,0.02591683621225228
$michi,7,0.25,0.044009235611057906
$michi,7,0.5,0.051065430057252836
$michi,7,0.75,0.037233868002792374
$michi,7,0.9,0.019071647269415768
$michi,7,0.95,0.012985455560483914
$michi,8,0.05,0.01565649714485205
$michi,8,0.1,0.02468637458829798
$michi,8,0.25,0.0432084120457466
$michi,8,0.5,0.032076625483349386
$michi,8,0.75,0.03270634535324151
$michi,8,0.9,0.01896543277465071
$michi,8,0.95,0.010485661535344698
$michi,9,0.05,0.004942820900581909
$michi,9,0.1,0.007967490035649397
$michi,9,0.25,0.013662035613391896
$michi,9,0.5,0.01844887800912753
$michi,9,0.75,0.018623911475402294
$michi,9,0.9,0.008932098133003066
$michi,9,0.95,0.0045215300527070975
$michi,10,0.05,0.00663809754287785
$michi,10,0.1,0.00808082181394216
$michi,10,0.25,0.009294264793868844
$michi,10,0.5,0.013870840550395098
$michi,10,0.75,0.009538317648327113
$michi,10,0.9,0.004479272908463811
$michi,10,0.95,0.004525533712407046
$michi,11,0.05,0.013648919165648386
$michi,11,0.1,0.02300299913864697
$michi,11,0.25,0.04004880637738286
$michi,11,0.5,0.0627589725786135
$michi,11,0.75,0.06402043476478071
$michi,11,0.9,0.04226023069374666
$michi,11,0.95,0.024569622044110558
$michi,12,0.05,0.017845752629138272
$michi,12,0.1,0.028690093978208108
$michi,12,0.25,0.039646546562129986
$michi,12,0.5,0.044567873349115834
$michi,12,0.75,0.04813385408619999
$michi,12,0.9,0.038359697643483556
$michi,12,0.95,0.021660505346710685
$michi,13,0.05,0.009016148424551335
$michi,13,0.1,0.017807946547246167
$michi,13,0.25,0.03059472630163498
$michi,13,0.5,0.039982424536063245
$michi,13,0.75,0.04908095198885643
$michi,13,0.9,0.028396740789459033
$michi,13,0.95,0.012880909503154904
$michi,14,0.05,0.010245252789288487
$michi,14,0.1,0.01624676406819912
$michi,14,0.25,0.019148611401582697
$michi,14,0.5,0.022411826402648858
$michi,14,0.75,0.027642292398880025
$michi,14,0.9,0.015528763345682943
$michi,14,0.95,0.003860794449247218
$michi,15,0.05,0.011465395696566067
$michi,15,0.1,0.02277557505885149
$michi,15,0.25,0.016095948376406193
$michi,15,0.5,0.01933925769624338
$michi,15,0.75,0.020576603733514873
$michi,15,0.9,0.008619287815438142
$michi,15,0.95,0.004807383574603398
$michi,16,0.05,0.019864983491427547
$michi,16,0.1,0.033487513392102514
$michi,16,0.25,0.05056056745158738
$michi,16,0.5,0.06429256879867933
$michi,16,0.75,0.07719578729875815
$michi,16,0.9,0.029179068997071792
$michi,16,0.95,0.019441820795544188
$michi,17,0.05,0.015549089703694985
$michi,17,0.1,0.022873721635061007
$michi,17,0.25,0.03253828340316229
$michi,17,0.5,0.03886304363388925
$michi,17,0.75,0.03141443212047099
$michi,17,0.9,0.02137304505571391
$michi,17,0.95,0.010787032288445296
$michi,18,0.05,0.01429812702710275
$michi,18,0.1,0.030855676925850926
$michi,18,0.25,0.050160659928922234
$michi,18,0.5,0.049774729668997396
$michi,18,0.75,0.03259167330840001
$michi,18,0.9,0.0119062828247063
$michi,18,0.95,0.009667548762446137
$michi,19,0.05,0.0050317358352280125
$michi,19,0.1,0.0202579541251345
$michi,19,0.25,0.02789705537358751
$michi,19,0.5,0.019898410585872394
$michi,19,0.75,0.025356361597510414
$michi,19,0.9,0.01733357471174473
$michi,19,0.95,0.013250292822955879
$michi,20,0.05,0.008131714907310806
$michi,20,0.1,0.014068084295350107
$michi,20,0.25,0.03196983616594317
$michi,20,0.5,0.026880277463341724
$michi,20,0.75,0.02703392456254058
$michi,20,0.9,0.015764205644705834
$michi,20,0.95,0.010578024214972398
$michi,21,0.05,0.006801003553026363
$michi,21,0.1,0.011834962206185537
$michi,21,0.25,0.016473820433873677
$michi,21,0.5,0.021063524706842775
$michi,21,0.75,0.012882868024271646
$michi,21,0.9,0.007909226584060335
$michi,21,0.95,0.005043106664908906
$michi,22,0.05,0.008640206084287698
$michi,22,0.1,0.011509074820936929
$michi,22,0.25,0.02445945779189954
$michi,22,0.5,0.02444830673468465
$michi,22,0.75,0.0190817968428653
$michi,22,0.9,0.012095884689406542
$michi,22,0.95,0.0077806393751973174
$michi,23,0.05,0.0057289040241267275
$michi,23,0.1,0.00933361348609697
$michi,23,0.25,0.015047383697088126
$michi,23,0.5,0.017696629206269975
$michi,23,0.75,0.013207134726648216
$michi,23,0.9,0.009961910531953467
$michi,23,0.95,0.006076463404231051
$michi,24,0.05,0.006655410299815683
$michi,24,0.1,0.010116668951956174
$michi,24,0.25,0.01324354608324449
$michi,24,0.5,0.014066944553796529
$michi,24,0.75,0.009283308429994147
$michi,24,0.9,0.005709683014185593
$michi,24,0.95,0.004700408774256654
ALCH,0,0.05,0.007083237050383076
ALCH,0,0.1,0.011948777257161038
ALCH,0,0.25,0.029600803397576047
ALCH,0,0.5,0.02450129381485482
ALCH,0,0.75,0.02208536261900862
ALCH,0,0.9,0.013902445922737136
ALCH,0,0.95,0.00840403884302162
ALCH,1,0.05,0.012278073992082946
ALCH,1,0.1,0.018627778991452817
ALCH,1,0.25,0.03769245582143428
ALCH,1,0.5,0.03664714358076382
ALCH,1,0.75,0.038824432916322704
ALCH,1,0.9,0.02482142411012249
ALCH,1,0.95,0.015533985362995254
ALCH,2,0.05,0.05585463417859542
ALCH,2,0.1,0.08330673073040813
ALCH,2,0.25,0.1325900587244588
ALCH,2,0.5,0.16131537835686105
ALCH,2,0.75,0.10209426069743222
ALCH,2,0.9,0.0638725254827544
ALCH,2,0.95,0.029330059374930984
ALCH,3,0.05,0.04598457036712614
ALCH,3,0.1,0.07882831121617004
ALCH,3,0.25,0.13796890191446434
ALCH,3,0.5,0.16990090489593412
ALCH,3,0.75,0.1598327449063422
ALCH,3,0.9,0.14772954969485247
ALCH,3,0.95,0.11997948106708349
ALCH,4,0.05,0.017991623457256564
ALCH,4,0.1,0.046268741336750636
ALCH,4,0.25,0.0826083148151109
ALCH,4,0.5,0.11712005546686961
ALCH,4,0.75,0.09896687778988496
ALCH,4,0.9,0.0426967984826706
ALCH,4,0.95,0.03892048644444506
ALCH,5,0.05,0.01840344598651969
ALCH,5,0.1,0.04041506802970732
ALCH,5,0.25,0.0998299175678543
ALCH,5,0.5,0.12743520115073856
ALCH,5,0.75,0.09879862616229866
ALCH,5,0.9,0.04710562120311673
ALCH,5,0.95,0.042626242484152595
ALCH,6,0.05,0.0128461576666516
ALCH,6,0.1,0.019693971855430443
ALCH,6,0.25,0.0439642666602583
ALCH,6,0.5,0.07102849481658131
ALCH,6,0.75,0.07774157564906074
ALCH,6,0.9,0.054999679927470624
ALCH,6,0.95,0.035892730920326806
