regime,w80_decile,coverage80,n
mid,1,0.3181818181818182,44.0
mid,2,0.6808510638297872,47.0
mid,3,0.6271186440677966,59.0
mid,4,0.7,80.0
mid,5,0.7927927927927928,111.0
mid,6,0.8252427184466019,103.0
mid,7,0.7159090909090909,88.0
mid,8,0.8809523809523809,84.0
mid,9,0.8045977011494253,87.0
mid,10,0.8928571428571429,28.0
quiet,1,0.5482625482625483,259.0
quiet,2,0.7192307692307692,260.0
quiet,3,0.7777777777777778,243.0
quiet,4,0.797979797979798,198.0
quiet,5,0.85625,160.0
quiet,6,0.8705035971223022,139.0
quiet,7,0.8709677419354839,124.0
quiet,8,0.963855421686747,83.0
quiet,9,0.85,40.0
quiet,10,0.9444444444444444,18.0
volatile,1,0.18181818181818182,22.0
volatile,2,0.3684210526315789,19.0
volatile,3,0.5833333333333334,24.0
volatile,4,0.5625,48.0
volatile,5,0.7090909090909091,55.0
volatile,6,0.7710843373493976,83.0
volatile,7,0.8333333333333334,114.0
volatile,8,0.8544303797468354,158.0
volatile,9,0.825,200.0
volatile,10,0.8214285714285714,280.0
