token,tau,dm_qrf_vs_lqr,p_qrf_vs_lqr,dm_qrf_vs_lgbm,p_qrf_vs_lgbm,n
$WIF,0.1,-0.6137247456254017,0.5393972333392774,-4.163041380118683,3.140364287546049e-05,126
$michi,0.1,-1.8444530001258148,0.06511714937677349,-0.2704009489449553,0.7868518101315254,126
ALCH,0.1,-2.3198524147845374,0.020348862503582588,0.689734445288483,0.490361200263254,126
AVA,0.1,-2.7343573688141194,0.00625021675326054,-0.6192352499856932,0.5357613931480523,126
FWOG,0.1,-1.772474053344924,0.07631589866156774,-2.0441534529860266,0.04093838991249665,126
Fartcoin,0.1,-1.4644371611336149,0.1430745407905354,-0.7615844312439995,0.4463080697118693,186
GIGA,0.1,-1.9217051248462682,0.054642872042358626,-2.010627844752248,0.04436478065571925,126
GOAT,0.1,-2.499831016078703,0.012425255904928711,-2.6549145443116458,0.007932850195484953,126
MEW,0.1,-0.8709260336954079,0.38379454098110877,-0.7532423029429367,0.4513043229673728,126
MLG,0.1,-1.7606232223986544,0.078302195458813,-2.997828952305544,0.0027191023607620046,126
MOODENG,0.1,-1.7337797107391772,0.08295717693913973,-2.0450866998667636,0.04084631128030525,126
PONKE,0.1,-2.096422183905625,0.036044756202278094,-1.1018425510968297,0.27053012782913166,126
POPCAT,0.1,-1.4626760896471416,0.1435560317710416,-3.9371633929372285,8.245046882660034e-05,126
Pnut,0.1,-0.7140939933113515,0.475169059984913,-0.9065927203861457,0.3646222127442833,126
RETARDIO,0.1,-2.1464251751588233,0.03183907257120788,-3.2578150763001896,0.0011227354385361377,186
Ray,0.1,-0.6110437794865028,0.5411705975858612,-0.6020401810349945,0.5471473912688187,126
SIGMA,0.1,-2.73622759762945,0.006214802542583886,-1.431345983409554,0.15233108123890426,126
UFD,0.1,0.2470374886417676,0.8048792112620209,-2.0157411173909168,0.04382705364730799,96
ZEREBRO,0.1,1.3742595324895437,0.16936112467794517,-2.8352040962228893,0.004579641800399603,126
$WIF,0.25,0.8598240814981709,0.38988602253721405,-0.6856785895381339,0.49291581100428283,126
$michi,0.25,-2.304778832185047,0.021178963205621404,-2.352024177315724,0.01867156127437264,126
ALCH,0.25,-2.1773889219869007,0.029451561530863257,-0.11172825615705319,0.9110388744238298,126
AVA,0.25,-2.903769406836775,0.0036869960528687074,-3.132089525366669,0.0017356694113408455,126
FWOG,0.25,-1.6572128714924448,0.09747644514089293,-2.094853437451794,0.036184023100166884,126
Fartcoin,0.25,-1.5106802929076706,0.1308699257661008,-2.0036016009334334,0.0451127542355354,186
GIGA,0.25,-1.625667771570997,0.10402034955929151,-1.038212519726801,0.2991711252218563,126
GOAT,0.25,-2.239836514428608,0.025101538385621236,0.06634106507407435,0.9471062900161391,126
MEW,0.25,-0.689975111249442,0.49020983910517124,-1.6360953362018495,0.10181963613662237,126
MLG,0.25,0.020849021843467798,0.9833660924478862,-2.1009993478794247,0.03564102349412601,126
MOODENG,0.25,-2.077941086988419,0.03771478562153452,-2.4962702175903693,0.012550695341733809,126
PONKE,0.25,-2.040359051897233,0.04131457719483134,-2.3701753844391296,0.017779649067353853,126
POPCAT,0.25,-1.5987191685789766,0.10988301645107912,-1.9606891823577897,0.0499152917480572,126
Pnut,0.25,-0.8241378748649565,0.409861221720631,-0.25248365677016466,0.8006672450077787,126
RETARDIO,0.25,-1.6165682206434546,0.1059715163525623,-2.1470783067773223,0.03178704801397858,186
Ray,0.25,-1.9312693029590453,0.05344975748713332,-2.5127935955236724,0.011977939172007845,126
SIGMA,0.25,-2.8147175570796024,0.004882012031454108,-2.4666987919514316,0.013636501193760253,126
UFD,0.25,-1.099254978865735,0.2716568638634218,0.22347451434450183,0.8231662162052635,96
ZEREBRO,0.25,0.549323712425985,0.5827833171552519,-2.096814430355422,0.03601000567147006,126
$WIF,0.5,-0.405526853906768,0.6850902833164707,-1.7390660267422706,0.08202314962810231,126
$michi,0.5,-2.13330059604038,0.032900075362821024,-2.062304339494077,0.03917877014878268,126
ALCH,0.5,-2.155000101721364,0.03116182625859598,-0.8866332533650506,0.3752763845730076,126
AVA,0.5,-3.316119271534299,0.000912768641241346,-2.7229123212575455,0.006470922897835241,126
FWOG,0.5,-1.4690731304429856,0.14181295479637512,-2.312523609413093,0.0207488457912417,126
Fartcoin,0.5,-1.5258609701501225,0.12704449259114425,-1.0493564712295824,0.29401408425752074,186
GIGA,0.5,-1.4781029752008428,0.1393802178764878,-1.9598949570883681,0.05000806917429035,126
GOAT,0.5,-1.0091902197858296,0.31288341617682613,0.8622601203237432,0.3885443927666683,126
MEW,0.5,-1.40330839898807,0.1605248947183322,-1.1152707139347122,0.26473443127292295,126
MLG,0.5,1.0469883616874336,0.29510494596190995,-1.9482874761312168,0.05138057484867442,126
