token,tau,pinball
$WIF,0.05,0.011893187118281044
$WIF,0.25,0.02292562909143983
$WIF,0.5,0.01972621704521463
$WIF,0.75,0.02557193467839652
$WIF,0.95,0.013373858181997595
$WIF,0.05,0.01230288959558542
$WIF,0.25,0.029061891552358287
$WIF,0.5,0.016071799378776522
$WIF,0.75,0.030067076678467686
$WIF,0.95,0.016272708207664452
$WIF,0.05,0.01261700141389912
$WIF,0.25,0.017167956282712463
$WIF,0.5,0.026129351928855377
$WIF,0.75,0.03567741649969934
$WIF,0.95,0.014124346060525055
$WIF,0.05,0.0134908518107914
$WIF,0.25,0.023806615338784604
$WIF,0.5,0.023540561595006424
$WIF,0.75,0.0331426671022217
$WIF,0.95,0.011466400739585695
$WIF,0.05,0.01686004916036247
$WIF,0.25,0.04679466145023902
$WIF,0.5,0.0621357674744721
$WIF,0.75,0.040737488702449115
$WIF,0.95,0.015873534222860433
$WIF,0.05,0.007915593169518002
$WIF,0.25,0.06068589392320558
$WIF,0.5,0.09931036724616421
$WIF,0.75,0.07595827225569952
$WIF,0.95,0.02592999827795987
$WIF,0.05,0.017771344307507448
$WIF,0.25,0.0430815506998082
$WIF,0.5,0.0363560255662179
$WIF,0.75,0.04798488832553632
$WIF,0.95,0.025280506406431206
$WIF,0.05,0.025370210855132577
$WIF,0.25,0.04500025752909486
$WIF,0.5,0.047831560251442085
$WIF,0.75,0.030451293992967057
$WIF,0.95,0.019333977730311324
$WIF,0.05,0.017748675252241372
$WIF,0.25,0.04556666685754939
$WIF,0.5,0.03084920869740708
$WIF,0.75,0.038799531670813965
$WIF,0.95,0.021465661972883517
$WIF,0.05,0.010979068793987511
$WIF,0.25,0.0224800440150735
$WIF,0.5,0.016022255482078036
$WIF,0.75,0.059659935791858965
$WIF,0.95,0.023065355889356362
$WIF,0.05,0.022414614342436762
$WIF,0.25,0.054005736994787695
$WIF,0.5,0.02249807729396946
$WIF,0.75,0.021948700095208648
$WIF,0.95,0.019198930266437205
$WIF,0.05,0.027747575854613894
$WIF,0.25,0.054918760714720544
$WIF,0.5,0.050855044302777014
$WIF,0.75,0.045724989584597114
$WIF,0.95,0.012742763657643952
$WIF,0.05,0.023000270909544106
$WIF,0.25,0.03810523640918488
$WIF,0.5,0.03803461589932738
$WIF,0.75,0.030898038182295643
$WIF,0.95,0.018694355919093828
$WIF,0.05,0.012365979174979209
$WIF,0.25,0.01391259677988603
$WIF,0.5,0.0251115056612595
$WIF,0.75,0.029680279812544893
$WIF,0.95,0.018031702791468377
$WIF,0.05,0.011441814162107591
$WIF,0.25,0.02752351163193562
$WIF,0.5,0.029751655798800708
$WIF,0.75,0.027970718598599245
$WIF,0.95,0.012713479836721464
$WIF,0.05,0.013604963423409833
$WIF,0.25,0.025459313796783487
$WIF,0.5,0.017708491919730746
$WIF,0.75,0.021918243870404447
$WIF,0.95,0.011728868450640762
$WIF,0.05,0.013303735372990353
$WIF,0.25,0.03174369333166579
$WIF,0.5,0.023863614449296248
$WIF,0.75,0.0292711776965514
$WIF,0.95,0.01212243217224923
$WIF,0.05,0.027592514795942425
$WIF,0.25,0.09716955188621566
$WIF,0.5,0.14241869276060914
$WIF,0.75,0.10032814315219839
$WIF,0.95,0.02010658448105444
$WIF,0.05,0.03310079203532144
$WIF,0.25,0.06595675033505012
$WIF,0.5,0.041032833268101705
$WIF,0.75,0.02342093217043637
$WIF,0.95,0.017057506301660388
$WIF,0.05,0.02902107529392925
$WIF,0.25,0.05537587262912728
$WIF,0.5,0.013974893034131644
$WIF,0.75,0.016478852009467103
$WIF,0.95,0.01658752016917203
$WIF,0.05,0.028138187108630402
$WIF,0.25,0.03945382753414241
$WIF,0.5,0.02129360881163737
$WIF,0.75,0.018922314103782065
$WIF,0.95,0.013920983016622715
$WIF,0.05,0.03140862170003953
$WIF,0.25,0.057770106888986324
$WIF,0.5,0.025140915653987978
$WIF,0.75,0.02146721289617334
$WIF,0.95,0.016814488209364563
$WIF,0.05,0.008673109903148294
$WIF,0.25,0.016933176191724745
$WIF,0.5,0.029954387187997065
$WIF,0.75,0.05362909368512405
$WIF,0.95,0.028399498336313344
$WIF,0.05,0.013978038937778691
$WIF,0.25,0.009419187415507334
$WIF,0.5,0.017511058534359164
$WIF,0.75,0.05389822313056014
$WIF,0.95,0.025966745712448225
$WIF,0.05,0.017872497069743372
$WIF,0.25,0.027924516710424434
$WIF,0.5,0.03149525164863554
$WIF,0.75,0.04296603014560052
$WIF,0.95,0.024644915442214612
$michi,0.05,0.015323496811580498
$michi,0.25,0.03263799467430679
$michi,0.5,0.02315137114650025
$michi,0.75,0.03877616547450965
$michi,0.95,0.027157451096652588
$michi,0.05,0.01264925493793899
$michi,0.25,0.02611704563439689
$michi,0.5,0.03448688391020172
$michi,0.75,0.06458838665604365
$michi,0.95,0.041887967081616434
$michi,0.05,0.01272551895516761
$michi,0.25,0.007699800761603508
$michi,0.5,0.017945939736407106
$michi,0.75,0.06854125322271865
$michi,0.95,0.03076913523821312
$michi,0.05,0.008956282019493491
$michi,0.25,0.0224805721639755
$michi,0.5,0.017694373620244803
$michi,0.75,0.06047962486452385
$michi,0.95,0.02789729440928407
$michi,0.05,0.012793162194250708
$michi,0.25,0.01749412871730086
$michi,0.5,0.02150190955836051
$michi,0.75,0.02495034197493518
$michi,0.95,0.025155737682581097
$michi,0.05,0.013923861408919767
$michi,0.25,0.027982710242916663
$michi,0.5,0.033273581423819705
$michi,0.75,0.0224754434785501
$michi,0.95,0.022969501611942795
$michi,0.05,0.012125877104292132
$michi,0.25,0.02263715301934344
$michi,0.5,0.026388109387863345
$michi,0.75,0.028676408234119165
$michi,0.95,0.014679392747291395
$michi,0.05,0.022472795276096042
$michi,0.25,0.07313504891762035
$michi,0.5,0.10005953424928153
$michi,0.75,0.08078033100198254
$michi,0.95,0.01989777151705902
$michi,0.05,0.035072396621131145
$michi,0.25,0.05531595620158263
$michi,0.5,0.06019019633748862
$michi,0.75,0.03268768239189381
$michi,0.95,0.030240182799454188
$michi,0.05,0.02265934400798811
$michi,0.25,0.04314312824428407
$michi,0.5,0.0246769567574482
$michi,0.75,0.031554976493077
$michi,0.95,0.024402329433508355
$michi,0.05,0.02723741828837493
$michi,0.25,0.04971357709753199
$michi,0.5,0.011359052423475331
$michi,0.75,0.01745032020114236
$michi,0.95,0.019369878921431473
$michi,0.05,0.03301133646537037
$michi,0.25,0.08475307563562862
$michi,0.5,0.0668981927905078
$michi,0.75,0.05408149281792073
$michi,0.95,0.03780053904445235
$michi,0.05,0.03139238793471116
$michi,0.25,0.07784040630733766
$michi,0.5,0.06961762772113253
$michi,0.75,0.05211408663270637
$michi,0.95,0.03114243922324908
$michi,0.05,0.027227357195635255
$michi,0.25,0.055121884707443176
$michi,0.5,0.023889115128992774
$michi,0.75,0.039712586966800724
$michi,0.95,0.03148531940890121
$michi,0.05,0.027051418235649095
$michi,0.25,0.055434954283952176
$michi,0.5,0.013941717978164403
$michi,0.75,0.04669927475665584
$michi,0.95,0.025376529482846633
$michi,0.05,0.022957899770854166
$michi,0.25,0.04630729556226896
$michi,0.5,0.021428488647461802
$michi,0.75,0.040984511242907695
$michi,0.95,0.02626647437484578
$michi,0.05,0.03768311437666446
$michi,0.25,0.08559612113178934
$michi,0.5,0.08540188123638143
$michi,0.75,0.06708091659563008
$michi,0.95,0.013228741890639257
$michi,0.05,0.03593688370913952
$michi,0.25,0.0596824291998185
$michi,0.5,0.04298899716984509
$michi,0.75,0.045216339158745684
$michi,0.95,0.017147672702108176
$michi,0.05,0.03317114830708396
$michi,0.25,0.049381257747197316
$michi,0.5,0.046813758516432206
$michi,0.75,0.03846857494692399
$michi,0.95,0.013341309377122952
$michi,0.05,0.031065082889889323
$michi,0.25,0.039376628174151496
$michi,0.5,0.024413811415655805
$michi,0.75,0.037652966415507416
$michi,0.95,0.018946092154209806
$michi,0.05,0.032404483914462
$michi,0.25,0.05342781886713077
$michi,0.5,0.02692708052895389
$michi,0.75,0.040688904191387244
$michi,0.95,0.01867689740389712
$michi,0.05,0.02945436892189489
$michi,0.25,0.038541715969009495
$michi,0.5,0.013804413256612037
$michi,0.75,0.025162482858991416
$michi,0.95,0.021043215662938385
$michi,0.05,0.01984849570788685
$michi,0.25,0.026571069527334706
$michi,0.5,0.03385807090379143
$michi,0.75,0.020431126920285644
$michi,0.95,0.023029710344867994
$michi,0.05,0.014002712802043652
$michi,0.25,0.018784076217813025
$michi,0.5,0.03489578531954837
$michi,0.75,0.032464764655996126
$michi,0.95,0.020189825243837438
$michi,0.05,0.010702419902017021
$michi,0.25,0.024089480510814276
$michi,0.5,0.020090703368950382
$michi,0.75,0.017981009030404085
