tau,pinball
0.05,0.003789319205164995
0.25,0.017727628461771075
0.5,0.013985978514614375
0.75,0.010538128722733945
0.95,0.0022086735647104997
0.05,0.0038641539362031917
0.25,0.012664531363641216
0.5,0.031678406225595736
0.75,0.11590097383422715
0.95,0.018718153601386213
0.05,0.012988740437370944
0.25,0.13288732116678084
0.5,0.033536041230947354
0.75,0.11679420320511308
0.95,0.006180075770954839
0.05,1.0528498577236134
0.25,0.4431169947307249
0.5,0.5286785587673893
0.75,0.816813785797393
0.95,1.780611077787755
0.05,0.9653228971373604
0.25,0.41251360111968044
0.5,0.05765840798760461
0.75,0.2531985007279824
0.95,0.40297561951581784
0.05,0.2368264704186724
0.25,0.08413899977283372
0.5,0.3034349736108949
0.75,0.06089916086183405
0.95,0.18908460705133112
0.05,0.11858906069751864
0.25,0.05350548385400583
0.5,0.042226941522511274
0.75,0.041358993206998755
0.95,0.018614803395752517
0.05,0.06230297720374465
0.25,0.017673070196601613
0.5,0.019102293510920684
0.75,0.018551893225746924
0.95,0.01620051823912857
0.05,0.004070378804081094
0.25,0.012902686082314803
0.5,0.028083435317535464
0.75,0.04460138640917285
0.95,0.07613185541958824
0.05,0.010408300479162289
0.25,0.014405393164302643
0.5,0.01520718836949677
0.75,0.008956505624478698
0.95,0.002500547466847436
0.05,0.0023345505404907267
0.25,0.009719880854878089
0.5,0.015897122489012903
0.75,0.020073856532625205
0.95,0.01824227888678059
0.05,0.0021924207164100095
0.25,0.017767213203299267
0.5,0.01847468417650198
0.75,0.013455894120523525
0.95,0.0033295279586669844
0.05,0.009338753341307748
0.25,0.02157546831152864
0.5,0.046539594462520754
0.75,0.03611137941543281
0.95,0.05556511979100034
0.05,0.005114358298120132
0.25,0.011003512806982493
0.5,0.030560706981415442
0.75,0.024985992759711386
0.95,0.013069986688429113
0.05,0.0212306790131556
0.25,0.032293937607473906
0.5,0.01787187221572539
0.75,0.039605072875236076
0.95,0.03544767942568456
0.05,0.002884144274746875
0.25,0.03396354520089765
0.5,0.02417741082687437
0.75,0.015716576291146037
0.95,0.006659833435348996
0.05,0.009382638315051673
0.25,0.009519490780206804
0.5,0.03020626160130971
0.75,0.029238070875976296
0.95,0.003168905485941821
0.05,0.008554344530876659
0.25,0.037924603126207164
0.5,0.032222327355961984
0.75,0.014735862957888042
0.95,0.011857455683421765
0.05,0.00924111297915793
