tau,pinball
0.05,0.003789319205149922
0.25,0.017727628465201584
0.5,0.013985977055409972
0.75,0.01053812871078915
0.95,0.0022086735650405586
0.05,0.0038641536946568493
0.25,0.012664531443435706
0.5,0.03167840645333859
0.75,0.11590098877226228
0.95,0.01871814254039479
0.05,0.012988740127898852
0.25,0.13288732097888697
0.5,0.03353353796441486
0.75,0.11679420004232775
0.95,0.006180075243250043
0.05,1.0528490334794505
0.25,0.44311699656622316
0.5,0.5286771199396091
0.75,0.8168137231787079
0.95,1.7806112003395913
0.05,0.9653229012498703
0.25,0.4125135994609537
0.5,0.057658372160867506
0.75,0.25319851073709376
0.95,0.40297562133998577
0.05,0.23682646955408068
0.25,0.08413899938290974
0.5,0.3034349747988771
0.75,0.060899160888560094
0.95,0.18908460873079203
0.05,0.11858906015332248
0.25,0.05350548382610206
0.5,0.04222694151909906
0.75,0.04135899323877988
0.95,0.018614803401977763
0.05,0.06230297719934433
0.25,0.017673070097660937
0.5,0.019102293511385225
0.75,0.018551893225104737
0.95,0.016200518495671983
0.05,0.0040703788377020236
0.25,0.01290268604244614
0.5,0.028083435316949557
0.75,0.04460138640993271
0.95,0.07613185541613847
0.05,0.01040830048012892
0.25,0.014405393163497142
0.5,0.015207188369280178
0.75,0.008956505739020364
0.95,0.002500547466967557
0.05,0.0023345505406804695
0.25,0.009719880854450106
0.5,0.015897122489281827
0.75,0.020073856536088116
0.95,0.018242278882520422
0.05,0.0021924207157080033
0.25,0.01776721320417304
0.5,0.0184746841803374
0.75,0.013455894120714141
0.95,0.0033295374083938487
0.05,0.009338753462735131
0.25,0.021575468306496454
0.5,0.046539594334739365
0.75,0.03611137949130567
0.95,0.05556505800202033
0.05,0.005114358290913144
0.25,0.011003512633730186
0.5,0.030560706972838737
0.75,0.024985992749210467
0.95,0.01306998799878098
0.05,0.021230679231233618
0.25,0.032293931656637236
0.5,0.017871874948850182
0.75,0.03960507099346743
0.95,0.03544767976011381
0.05,0.002884144246517811
0.25,0.0339635453521319
0.5,0.024177410833300092
0.75,0.015716576285139502
0.95,0.006659833660915302
0.05,0.009382637993382183
0.25,0.009519490799256014
0.5,0.030206261577309865
0.75,0.02923807076136142
0.95,0.003168905420929756
0.05,0.008554344535982243
0.25,0.037924602588322774
0.5,0.032222327360677205
0.75,0.014735862981630744
0.95,0.011857455618606497
0.05,0.0092411124311148
0.25,0.03198831970952283
0.5,0.03346449597854329
0.75,0.034547106868860776
0.95,0.059868259656116085
0.05,0.009948748950727712
0.25,0.016245583370956586
0.5,0.022507840159858506
0.75,0.02572670542393345
0.95,0.002428970076195474
0.05,0.020458025379756824
0.25,0.01648431024523066
0.5,0.024421069411992975
0.75,0.032461683013892066
0.95,0.07911604945995417
0.05,0.0037903023282762657
0.25,0.020539290331111026
0.5,0.025829039084564426
0.75,0.10352295463199936
0.95,0.06715833131398347
0.05,0.1167494575093132
0.25,0.11050757071027055
0.5,0.07376260300910926
0.75,0.030698531432829013
0.95,0.008502484711313289
0.05,0.008135454017135385
0.25,0.05062297498337442
0.5,0.04779952295439845
0.75,0.027352078859811373
0.95,0.012168049209708041
0.05,0.04703536820764612
0.25,0.04251516154498933
0.5,0.052626269783225176
0.75,0.0375471714769106
0.95,0.010033845061399272
0.05,0.021368882676105903
0.25,0.017641816027168074
0.5,0.024040751135109128
0.75,0.015257546887189319
0.95,0.011249744308868158
0.05,0.007618035022473892
0.25,0.016237337977168427
0.5,0.01989571493761279
0.75,0.023381128299698045
0.95,0.009763201149001846
0.05,0.007883082915532974
0.25,0.021290976128447936
0.5,0.019734599324495814
0.75,0.01549026484247463
0.95,0.004328778951620593
0.05,0.004280965486092607
0.25,0.01974855454432347
0.5,0.03266494322189823
0.75,0.03459297452133086
0.95,0.010523005103763866
0.05,0.022540429136485383
0.25,0.024339460068499286
0.5,0.004972178825442313
0.75,0.01440714459140799
0.95,0.005484728793932902
0.05,0.005237451345995486
0.25,0.015756620493654862
0.5,0.026871012616887253
0.75,0.03500500241320875
0.95,0.022150298931710232
0.05,0.01626603061228096
0.25,0.024444956310312207
0.5,0.018766450116421345
0.75,0.01657608839366405
0.95,0.003217245242918641
0.05,0.006113147706058986
0.25,0.030242951402296603
0.5,0.03808210378084718
0.75,0.032399615828823426
0.95,0.02364783005658008
0.05,0.01694344991160252
0.25,0.05146095692898838
0.5,0.015367584075010743
0.75,0.027046371026874464
0.95,0.006300589564640808
0.05,0.005104330273818671
0.25,0.019213782821144366
0.5,0.035899108999904956
0.75,0.017367675245950207
0.95,0.004362572698309021
0.05,0.0038614135822573558
0.25,0.009468937359708204
0.5,0.020561642153038146
0.75,0.030065828272187317
0.95,0.007182764028117224
0.05,0.010163189944438962
0.25,0.035979767653850525
0.5,0.026200564203007305
0.75,0.02147170789154774
0.95,0.007132691733628555
0.05,0.024388100097635163
0.25,0.033404112736278045
0.5,0.050963319092448674
0.75,0.04003412175079304
0.95,0.027986258598400385
0.05,0.02944699182083069
0.25,0.035861094049960206
0.5,0.04353408691753528
0.75,0.024401413242542597
0.95,0.02012413976090643
0.05,0.02818439513834194
0.25,0.026482977041375106
0.5,0.03531152278101344
0.75,0.02661059174573349
0.95,0.01106641625810031
0.05,0.013726504916006662
0.25,0.025289160853796285
0.5,0.01338147710785522
0.75,0.009329010876214591
0.95,0.002978650672322875
0.05,0.035388734121653796
0.25,0.046874750697837385
0.5,0.02767730718952191
0.75,0.0690972357288239
0.95,0.07590843569352826
0.05,0.19935180028549593
0.25,0.09030677358207888
0.5,0.07254774849193057
0.75,0.025552125692833067
0.95,0.00981389682391339
0.05,0.07560596389049641
0.25,0.04693921120935046
0.5,0.053720860984480624
0.75,0.026300042123905274
0.95,0.009097480858485558
0.05,0.030375587892830652
0.25,0.02203326434902309
0.5,0.04076005015903132
0.75,0.04165387982705732
0.95,0.006072353444540886
0.05,0.007353596636024545
0.25,0.019851186861972715
0.5,0.022921398485274174
0.75,0.02443119835039802
0.95,0.005393766274893325
0.05,0.0036092264469424983
0.25,0.09499475970085126
0.5,0.04334541763013781
0.75,0.02409172386323104
0.95,0.004441521242656179
0.05,0.013634943790315261
0.25,0.02364408929453902
0.5,0.024288970687189836
0.75,0.017889969006948166
0.95,0.006204916204780097
0.05,0.037889601326179696
0.25,0.013064254297622828
0.5,0.018683763012244295
0.75,0.030164433934610047
0.95,0.015534556067732153
0.05,0.013713649956033575
0.25,0.013203111612625813
0.5,0.0270692905232032
0.75,0.025212960061134024
0.95,0.003916258892171772
0.05,0.013628543974702279
0.25,0.09840377522930079
0.5,0.06864763284976547
0.75,0.031399264536222105
0.95,0.04733035027076191
0.05,0.06984600334832616
0.25,0.0981983038747119
0.5,0.057243610823522785
0.75,0.054097585359895284
0.95,0.1006971397983117
0.05,0.022878295936716236
0.25,0.10117361762868382
0.5,0.15478704611351207
0.75,0.1762919520446229
0.95,0.12595757015605788
0.05,0.0285830277893761
0.25,2.7719724789444897
0.5,1.8063885291395092
0.75,3.366418624767802
0.95,12.708313271005514
0.05,0.04761169956012375
0.25,0.2462258785046668
0.5,1.1699431896949593
0.75,0.08566657149575817
0.95,0.02133389370491688
0.05,0.05155900996783699
0.25,0.3209215374834822
0.5,0.407185908437633
0.75,0.2657379305285628
0.95,3.119467662390594
0.05,0.022631323269533238
0.25,0.33929971464059183
0.5,0.0815270782633883
0.75,0.30912345449762285
0.95,0.8918027753657616
0.05,0.07865557658522977
0.25,0.17540439703840682
0.5,0.3836864549055186
0.75,0.13660974996882844
0.95,0.12386213473549763
0.05,0.4081287030538845
0.25,0.07878457796174988
0.5,0.13928038655641647
0.75,0.0847022611540341
0.95,0.2664638637697669
0.05,0.03896456430235811
0.25,0.021012559807645288
0.5,0.06693115121745184
0.75,0.04632897895209143
0.95,0.03148757200846255
0.05,0.01813591969619293
0.25,0.02541729907292668
0.5,0.031053399372372652
0.75,0.044956529638310115
0.95,0.05093484881863608
0.05,0.32328040368638183
0.25,0.15661025576734858
0.5,0.09852021628623196
0.75,0.03205670746827367
0.95,0.10503091465488952
0.05,0.1523230903732887
0.25,0.08843675473453062
0.5,0.06617818826826226
0.75,0.1397636198860784
0.95,0.016624469312900576
0.05,0.04204067711741522
0.25,0.05473329190852153
0.5,0.0996887523254889
0.75,0.06263315795211288
0.95,0.017405164361008148
0.05,0.16357427392357554
0.25,0.11216746549644012
0.5,0.041569427351974296
0.75,0.04224666929270598
0.95,0.014538981501215582
0.05,0.0716695157006441
0.25,0.10642116645388038
0.5,0.04914260890776656
0.75,0.03979177191215008
0.95,0.015832311705352504
0.05,0.02753282158432085
0.25,0.04201452657090585
0.5,0.016654528984557423
0.75,0.07752130843394922
0.95,0.118016359900537
0.05,0.09024178954032232
0.25,0.09976314056056655
