token,pinball,tau,model
$WIF,0.010482948340236019,0.05,QRF
$michi,0.009862217655209268,0.05,QRF
ALCH,0.015922184545084705,0.05,QRF
AVA,0.009180975926026656,0.05,QRF
FWOG,0.016086396820319704,0.05,QRF
Fartcoin,0.012182301093276983,0.05,QRF
GIGA,0.00843918587858308,0.05,QRF
GOAT,0.010546621066002721,0.05,QRF
MEW,0.006670306023719483,0.05,QRF
MLG,0.013462171311588588,0.05,QRF
MOODENG,0.007516500519564591,0.05,QRF
PONKE,0.006837410194546337,0.05,QRF
POPCAT,0.00885501952414959,0.05,QRF
Pnut,0.008613162840714983,0.05,QRF
RETARDIO,0.010605136803097654,0.05,QRF
Ray,0.00544732815467352,0.05,QRF
SIGMA,0.00772291728873884,0.05,QRF
UFD,0.02906572753928441,0.05,QRF
ZEREBRO,0.02649825722323983,0.05,QRF
$WIF,0.017138427854491316,0.1,QRF
$michi,0.017063548122075195,0.1,QRF
ALCH,0.02730963265920309,0.1,QRF
AVA,0.014183901320548933,0.1,QRF
FWOG,0.025327218454574096,0.1,QRF
Fartcoin,0.018722111214419447,0.1,QRF
GIGA,0.013380954821102475,0.1,QRF
GOAT,0.018720902372076097,0.1,QRF
MEW,0.011184905672795873,0.1,QRF
MLG,0.021624465950628936,0.1,QRF
MOODENG,0.01113178327140803,0.1,QRF
PONKE,0.010539400922171845,0.1,QRF
POPCAT,0.013730638294875034,0.1,QRF
Pnut,0.015177476004645054,0.1,QRF
RETARDIO,0.016581452532876413,0.1,QRF
Ray,0.009089903781521969,0.1,QRF
SIGMA,0.01353733129857179,0.1,QRF
UFD,0.03891874664931623,0.1,QRF
ZEREBRO,0.037921157017780566,0.1,QRF
$WIF,0.03228239345091513,0.25,QRF
$michi,0.026540197088617837,0.25,QRF
ALCH,0.0495723380202129,0.25,QRF
AVA,0.02481254241061655,0.25,QRF
FWOG,0.04059625142901716,0.25,QRF
Fartcoin,0.03205493816185411,0.25,QRF
GIGA,0.026649259065125646,0.25,QRF
GOAT,0.0414899708394171,0.25,QRF
MEW,0.02117080143659349,0.25,QRF
MLG,0.043461627138709484,0.25,QRF
MOODENG,0.019076328917545304,0.25,QRF
PONKE,0.019117782352244858,0.25,QRF
POPCAT,0.02361847092221207,0.25,QRF
Pnut,0.026974512040736524,0.25,QRF
RETARDIO,0.030060076893987618,0.25,QRF
Ray,0.01520815945736849,0.25,QRF
SIGMA,0.02531634828152605,0.25,QRF
UFD,0.053572876589149804,0.25,QRF
ZEREBRO,0.05500397020024269,0.25,QRF
$WIF,0.034911790312567616,0.5,QRF
$michi,0.030862493822530247,0.5,QRF
ALCH,0.06327131346902334,0.5,QRF
AVA,0.03355689890436715,0.5,QRF
FWOG,0.05566522361642025,0.5,QRF
Fartcoin,0.04138914001571246,0.5,QRF
GIGA,0.03424627350690617,0.5,QRF
GOAT,0.07359528982579204,0.5,QRF
MEW,0.026919647565503628,0.5,QRF
MLG,0.06109000754670771,0.5,QRF
MOODENG,0.024419021767701356,0.5,QRF
PONKE,0.028639075345654304,0.5,QRF
POPCAT,0.033736162849490686,0.5,QRF
Pnut,0.03252325285514356,0.5,QRF
RETARDIO,0.03789455093652042,0.5,QRF
Ray,0.019015329925588534,0.5,QRF
SIGMA,0.0329997069865692,0.5,QRF
UFD,0.06115782314301401,0.5,QRF
ZEREBRO,0.08558171947989723,0.5,QRF
$WIF,0.032110549283682024,0.75,QRF
$michi,0.030117308532999373,0.75,QRF
ALCH,0.05132595122426367,0.75,QRF
AVA,0.03152247630083799,0.75,QRF
FWOG,0.05286881855418688,0.75,QRF
